"scenario","model","rep","year","pvpr_2_10","clin_0_5","clin_all","relapse_all"
"eir_1","IBM",1,5.91781,0.0460378,0.582521,0.519027,1.92259
"eir_1","IBM",1,6,0.0450486,0.570986,0.5239,2.01153
"eir_1","IBM",1,6.08219,0.0480607,0.584324,0.505652,1.97265
"eir_1","IBM",1,6.16438,0.046913,0.610031,0.494709,1.95081
"eir_1","IBM",1,6.24658,0.0451068,0.588493,0.513003,1.94844
"eir_1","IBM",1,6.32877,0.046079,0.539226,0.500851,1.94369
"eir_1","IBM",1,6.41096,0.0444408,0.509878,0.471605,1.84986
"eir_1","IBM",1,6.49315,0.0449094,0.525695,0.483791,1.94126
"eir_1","IBM",1,6.57534,0.0451146,0.543338,0.492321,1.90835
"eir_1","IBM",1,6.65753,0.0458553,0.499715,0.471605,1.89495
"eir_1","IBM",1,6.73973,0.0429775,0.497961,0.437467,1.84492
"eir_1","IBM",1,6.82192,0.0430934,0.43471,0.454498,1.88623
"eir_1","IBM",1,6.90411,0.0457068,0.546658,0.509331,1.90085
"eir_1","IBM",1,6.9863,0.0469987,0.507968,0.464246,1.8643
"eir_1","IBM",1,7.06849,0.0428928,0.498251,0.427709,1.85584
"eir_1","IBM",1,7.15068,0.0450152,0.554379,0.449669,1.75481
"eir_1","IBM",1,7.23288,0.0449757,0.463985,0.417985,1.74262
"eir_1","IBM",1,7.31507,0.0424961,0.50324,0.478916,1.80965
"eir_1","IBM",1,7.39726,0.0429144,0.576708,0.492321,1.72069
"eir_1","IBM",1,7.47945,0.0413902,0.531442,0.432609,1.80477
"eir_1","IBM",1,7.56164,0.0423848,0.557541,0.471565,1.79731
"eir_1","IBM",1,7.64384,0.0429589,0.48619,0.432577,1.72909
"eir_1","IBM",1,7.72603,0.0405736,0.508855,0.444878,1.80267
"eir_1","IBM",1,7.80822,0.0411459,0.457156,0.460775,1.81141
"eir_1","IBM",1,7.89041,0.0397117,0.47545,0.435177,1.77606
"eir_1","IBM",1,7.9726,0.0391998,0.431594,0.424206,1.73583
"eir_1","IBM",1,8.05479,0.0399409,0.436001,0.39252,1.76512
"eir_1","IBM",1,8.13699,0.0376935,0.452902,0.420549,1.73827
"eir_1","IBM",1,8.21918,0.0402427,0.490816,0.438848,1.692
"eir_1","IBM",1,8.30137,0.0402626,0.446579,0.423042,1.6434
"eir_1","IBM",1,8.38356,0.0363533,0.421348,0.404783,1.65937
"eir_1","IBM",1,8.46575,0.0376753,0.418565,0.414573,1.66561
"eir_1","IBM",1,8.54795,0.0427933,0.530926,0.439014,1.6646
"eir_1","IBM",1,8.63014,0.0439724,0.412136,0.43779,1.7475
"eir_1","IBM",1,8.71233,0.0441258,0.434578,0.445107,1.79628
"eir_1","IBM",1,8.79452,0.0453632,0.491062,0.449985,1.77433
"eir_1","IBM",1,8.87671,0.0414885,0.479907,0.46096,1.73897
"eir_1","IBM",1,8.9589,0.0415296,0.461527,0.456082,1.69263
"eir_1","IBM",1,9.0411,0.0447426,0.449086,0.426892,1.76611
"eir_1","IBM",1,9.12329,0.0435712,0.593806,0.480568,1.72224
"eir_1","IBM",1,9.20548,0.0388669,0.566048,0.440317,1.75029
"eir_1","IBM",1,9.28767,0.0386982,0.413471,0.374453,1.72102
"eir_1","IBM",1,9.36986,0.0433055,0.458725,0.454954,1.82348
"eir_1","IBM",1,9.45205,0.0455973,0.503518,0.454954,1.76249
"eir_1","IBM",1,9.53425,0.0434385,0.519458,0.408605,1.65515
"eir_1","IBM",1,9.61644,0.0427139,0.448424,0.439098,1.75639
"eir_1","IBM",1,9.69863,0.0408143,0.522898,0.42934,1.77591
"eir_1","IBM",1,9.78082,0.0446938,0.525017,0.445196,1.81982
"eir_1","IBM",1,9.86301,0.043526,0.522093,0.459833,1.78444
"eir_1","IBM",1,9.94521,0.039894,0.46567,0.436658,1.72224
"eir_1","IBM",1,10.0274,0.0415544,0.566155,0.458613,1.86982
"eir_1","IBM",1,10.1096,0.0426336,0.471488,0.484227,1.7381
"eir_1","IBM",1,10.1918,0.0453879,0.460945,0.446468,1.74928
"eir_1","IBM",1,10.274,0.0442596,0.513161,0.472172,1.73618
"eir_1","IBM",1,10.3562,0.0415648,0.456221,0.489278,1.77897
"eir_1","IBM",1,10.4384,0.0434347,0.46863,0.456398,1.78532
"eir_1","IBM",1,10.5205,0.0444097,0.496319,0.449108,1.78301
"eir_1","IBM",1,10.6027,0.042984,0.447374,0.440602,1.72579
"eir_1","IBM",1,10.6849,0.0431725,0.535207,0.44795,1.80034
"eir_1","IBM",1,10.7671,0.0441627,0.450147,0.444288,1.8333
"eir_1","IBM",1,10.8493,0.0427304,0.47206,0.433303,1.73077
"eir_1","IBM",1,10.9315,0.0396496,0.392144,0.436965,1.76373
"eir_1","IBM",1,11.0137,0.0401654,0.466494,0.460197,1.73947
"eir_1","IBM",1,11.0959,0.0418967,0.530842,0.427243,1.68334
"eir_1","IBM",1,11.1781,0.0450377,0.556535,0.49194,1.76635
"eir_1","IBM",1,11.2603,0.0466696,0.465855,0.413816,1.70897
"eir_1","IBM",1,11.3425,0.0430764,0.50112,0.421148,1.69192
"eir_1","IBM",1,11.4247,0.0437756,0.595744,0.476119,1.73966
"eir_1","IBM",1,11.5068,0.0467777,0.567607,0.47734,1.82146
"eir_1","IBM",1,11.589,0.0449915,0.525097,0.446819,1.78361
"eir_1","IBM",1,11.6712,0.0460219,0.610917,0.463911,1.70426
"eir_1","IBM",1,11.7534,0.0457386,0.664298,0.46394,1.77396
"eir_1","IBM",1,11.8356,0.042537,0.426955,0.416341,1.69955
"eir_1","IBM",1,11.9178,0.0408149,0.516006,0.429739,1.72994
"eir_1","IBM",1,12,0.0393602,0.498282,0.439494,1.72379
