"scenario","model","rep","years","elapsed_s"
"primaquine_e10","IBM",5,36,75.97
"tafenoquine_e1","IBM",5,36,61.53
"tafenoquine","IBM",5,36,67.14
"tafenoquine_e10","IBM",5,36,77.28
"nets_e1","IBM",6,36,66.85
"nets","IBM",6,36,71.94
"nets_e10","IBM",6,36,80.19
"irs_e1","IBM",6,36,58.82
"irs","IBM",6,36,63.61
"irs_e10","IBM",6,36,72.27
"treatment_e1","IBM",6,36,62.44
"treatment","IBM",6,36,71.49
"treatment_e10","IBM",6,36,84.86
"primaquine_e1","IBM",6,36,71.53
"primaquine","IBM",6,36,76.95
"primaquine_e10","IBM",6,36,84.03
"tafenoquine_e1","IBM",6,36,64.81
"tafenoquine","IBM",6,36,68.68
"tafenoquine_e10","IBM",6,36,78.06
"nets_e1","IBM",7,36,66.17
"nets","IBM",7,36,72.5
"nets_e10","IBM",7,36,84.77
"irs_e1","IBM",7,36,64.94
"irs","IBM",7,36,71.08
"irs_e10","IBM",7,36,79.28
"treatment_e1","IBM",7,36,67.97
"treatment","IBM",7,36,74
"treatment_e10","IBM",7,36,84.16
"primaquine_e1","IBM",7,36,67.97
"primaquine","IBM",7,36,74.52
"primaquine_e10","IBM",7,36,85.4
"tafenoquine_e1","IBM",7,36,68.83
"tafenoquine","IBM",7,36,75.07
"tafenoquine_e10","IBM",7,36,85.35
"nets_e1","IBM",8,36,73.47
"nets","IBM",8,36,79.91
"nets_e10","IBM",8,36,89.5
"irs_e1","IBM",8,36,67.25
"irs","IBM",8,36,72.84
"irs_e10","IBM",8,36,84.09
"treatment_e1","IBM",8,36,69.5
"treatment","IBM",8,36,75.83
"treatment_e10","IBM",8,36,86.22
"primaquine_e1","IBM",8,36,70.12
"primaquine","IBM",8,36,75.97
"primaquine_e10","IBM",8,36,85.79
"tafenoquine_e1","IBM",8,36,69.01
"tafenoquine","IBM",8,36,75.64
"tafenoquine_e10","IBM",8,36,86.08
"nets_e1","IBM",9,36,73.93
"nets","IBM",9,36,79.44
"nets_e10","IBM",9,36,88.16
"irs_e1","IBM",9,36,65.19
"irs","IBM",9,36,71.28
"irs_e10","IBM",9,36,83.53
"treatment_e1","IBM",9,36,69.8
"treatment","IBM",9,36,76.02
"treatment_e10","IBM",9,36,84.58
"primaquine_e1","IBM",9,36,68.59
"primaquine","IBM",9,36,74.2
"primaquine_e10","IBM",9,36,84.68
"tafenoquine_e1","IBM",9,36,68.52
"tafenoquine","IBM",9,36,74.2
"tafenoquine_e10","IBM",9,36,84.61
"nets_e1","IBM",10,36,72.63
"nets","IBM",10,36,79.61
"nets_e10","IBM",10,36,89.1
"irs_e1","IBM",10,36,67.24
"irs","IBM",10,36,73.91
"irs_e10","IBM",10,36,83.54
"treatment_e1","IBM",10,36,68.81
"treatment","IBM",10,36,75
"treatment_e10","IBM",10,36,84.45
"primaquine_e1","IBM",10,36,68.35
"primaquine","IBM",10,36,75.19
"primaquine_e10","IBM",10,36,84.66
"tafenoquine_e1","IBM",10,36,68.2
"tafenoquine","IBM",10,36,73.81
"tafenoquine_e10","IBM",10,36,84.55
"nets_e1","IBM",11,36,72.86
"nets","IBM",11,36,78.28
"nets_e10","IBM",11,36,87.08
"irs_e1","IBM",11,36,64.75
"irs","IBM",11,36,69.87
"irs_e10","IBM",11,36,77.78
"treatment_e1","IBM",11,36,67.58
"treatment","IBM",11,36,73.88
"treatment_e10","IBM",11,36,82.97
"primaquine_e1","IBM",11,36,68.28
"primaquine","IBM",11,36,73.21
"primaquine_e10","IBM",11,36,83.49
"tafenoquine_e1","IBM",11,36,67.7
"tafenoquine","IBM",11,36,74.44
"tafenoquine_e10","IBM",11,36,84.33
"nets_e1","IBM",12,36,72.58
"nets","IBM",12,36,78.17
"nets_e10","IBM",12,36,86.97
"irs_e1","IBM",12,36,65.36
"irs","IBM",12,36,71.44
"irs_e10","IBM",12,36,80.82
"treatment_e1","IBM",12,36,69.32
"treatment","IBM",12,36,75.19
"treatment_e10","IBM",12,36,84.45
"primaquine_e1","IBM",12,36,67.48
"primaquine","IBM",12,36,74.3
"primaquine_e10","IBM",12,36,84.17
"tafenoquine_e1","IBM",12,36,68.44
"tafenoquine","IBM",12,36,74.78
"tafenoquine_e10","IBM",12,36,84.78
"nets_e1","IBM",13,36,72.25
"nets","IBM",13,36,78.4
"nets_e10","IBM",13,36,87.44
"irs_e1","IBM",13,36,65.63
"irs","IBM",13,36,71.05
"irs_e10","IBM",13,36,79.25
"treatment_e1","IBM",13,36,67.6
"treatment","IBM",13,36,73.5
"treatment_e10","IBM",13,36,83.69
"primaquine_e1","IBM",13,36,67.77
"primaquine","IBM",13,36,74.19
"primaquine_e10","IBM",13,36,84.88
"tafenoquine_e1","IBM",13,36,68.94
"tafenoquine","IBM",13,36,77.29
"tafenoquine_e10","IBM",13,36,89.17
"nets_e1","IBM",14,36,77.26
"nets","IBM",14,36,81.89
"nets_e10","IBM",14,36,89.64
"irs_e1","IBM",14,36,64.69
"irs","IBM",14,36,70.49
"irs_e10","IBM",14,36,78.93
"treatment_e1","IBM",14,36,69.25
"treatment","IBM",14,36,75.41
"treatment_e10","IBM",14,36,84.78
"primaquine_e1","IBM",14,36,68.59
"primaquine","IBM",14,36,73.88
"primaquine_e10","IBM",14,36,84.14
"tafenoquine_e1","IBM",14,36,68.1
"tafenoquine","IBM",14,36,74.75
"tafenoquine_e10","IBM",14,36,85.23
"nets_e1","IBM",15,36,72.95
"nets","IBM",15,36,78.68
"nets_e10","IBM",15,36,87.03
"irs_e1","IBM",15,36,65
"irs","IBM",15,36,70.64
"irs_e10","IBM",15,36,78.97
"treatment_e1","IBM",15,36,67.86
"treatment","IBM",15,36,74.16
"treatment_e10","IBM",15,36,84.42
"primaquine_e1","IBM",15,36,67.87
"primaquine","IBM",15,36,73.77
"primaquine_e10","IBM",15,36,84.22
"tafenoquine_e1","IBM",15,36,67.91
"tafenoquine","IBM",15,36,74.49
"tafenoquine_e10","IBM",15,36,84.34
"nets_e1","IBM",16,36,72.11
"nets","IBM",16,36,79.09
"nets_e10","IBM",16,36,89.12
"irs_e1","IBM",16,36,65.38
"irs","IBM",16,36,70.09
"irs_e10","IBM",16,36,78.63
"treatment_e1","IBM",16,36,67.68
"treatment","IBM",16,36,74.56
"treatment_e10","IBM",16,36,85.47
"primaquine_e1","IBM",16,36,69.15
"primaquine","IBM",16,36,75.76
"primaquine_e10","IBM",16,36,84.33
"tafenoquine_e1","IBM",16,36,67.31
"tafenoquine","IBM",16,36,74.09
"tafenoquine_e10","IBM",16,36,85
"nets_e1","IBM",17,36,73.56
"nets","IBM",17,36,79.79
"nets_e10","IBM",17,36,89.78
"irs_e1","IBM",17,36,66.31
"irs","IBM",17,36,70.28
"irs_e10","IBM",17,36,77.17
"treatment_e1","IBM",17,36,63.87
"treatment","IBM",17,36,69.83
"treatment_e10","IBM",17,36,77.58
"primaquine_e1","IBM",17,36,62.09
"primaquine","IBM",17,36,67.25
"primaquine_e10","IBM",17,36,76.73
"tafenoquine_e1","IBM",17,36,61.98
"tafenoquine","IBM",17,36,67.85
"tafenoquine_e10","IBM",17,36,78.19
"nets_e1","IBM",18,36,67.29
"nets","IBM",18,36,72.52
"nets_e10","IBM",18,36,80.35
"irs_e1","IBM",18,36,59.13
"irs","IBM",18,36,65.26
"irs_e10","IBM",18,36,72.94
"treatment_e1","IBM",18,36,63.03
"treatment","IBM",18,36,68.87
"treatment_e10","IBM",18,36,77.47
"primaquine_e1","IBM",18,36,62.55
"primaquine","IBM",18,36,67.75
"primaquine_e10","IBM",18,36,76.88
"tafenoquine_e1","IBM",18,36,62.06
"tafenoquine","IBM",18,36,67.99
"tafenoquine_e10","IBM",18,36,77.63
"nets_e1","IBM",19,36,66.98
"nets","IBM",19,36,73.1
"nets_e10","IBM",19,36,81.97
"irs_e1","IBM",19,36,61.79
"irs","IBM",19,36,66.21
"irs_e10","IBM",19,36,76.26
"treatment_e1","IBM",19,36,63.12
"treatment","IBM",19,36,69.21
"treatment_e10","IBM",19,36,79.61
"primaquine_e1","IBM",19,36,65.49
"primaquine","IBM",19,36,75.31
"primaquine_e10","IBM",19,36,84.68
"tafenoquine_e1","IBM",19,36,68.58
"tafenoquine","IBM",19,36,73.9
"tafenoquine_e10","IBM",19,36,78.03
"nets_e1","IBM",20,36,67.81
"nets","IBM",20,36,73.11
"nets_e10","IBM",20,36,83
"irs_e1","IBM",20,36,61.95
"irs","IBM",20,36,66.67
"irs_e10","IBM",20,36,74.57
"treatment_e1","IBM",20,36,62.72
"treatment","IBM",20,36,69.09
"treatment_e10","IBM",20,36,80.45
"primaquine_e1","IBM",20,36,64.58
"primaquine","IBM",20,36,71.14
"primaquine_e10","IBM",20,36,81.56
"tafenoquine_e1","IBM",20,36,66.1
"tafenoquine","IBM",20,36,72.58
"tafenoquine_e10","IBM",20,36,86.24
"eir_0.3","IBM",1,33,59.69
"eir_30","IBM",1,33,83.16
"seasonal","IBM",1,33,59.66
"eir_0.3","IBM",2,33,55.5
"eir_30","IBM",2,33,76.7
"seasonal","IBM",2,33,56.5
"eir_0.3","IBM",3,33,54.03
"eir_30","IBM",3,33,76.89
"seasonal","IBM",3,33,57.22
"eir_0.3","IBM",4,33,53.96
"eir_30","IBM",4,33,75.78
"seasonal","IBM",4,33,57.47
"eir_0.3","IBM",5,33,54.44
"eir_30","IBM",5,33,76.53
"seasonal","IBM",5,33,57.24
"eir_0.3","IBM",6,33,52.89
"eir_30","IBM",6,33,76
"seasonal","IBM",6,33,56.82
"eir_0.3","IBM",7,33,54.39
"eir_30","IBM",7,33,77.3
"seasonal","IBM",7,33,58.01
"eir_0.3","IBM",8,33,55.16
"eir_30","IBM",8,33,78.69
"seasonal","IBM",8,33,59.24
"eir_0.3","IBM",9,33,55.7
"eir_30","IBM",9,33,77.47
"seasonal","IBM",9,33,56.8
"eir_0.3","IBM",10,33,53.42
"eir_30","IBM",10,33,75.11
"seasonal","IBM",10,33,56.61
"eir_0.3","IBM",11,33,53.97
"eir_30","IBM",11,33,75.56
"seasonal","IBM",11,33,56.94
"eir_0.3","IBM",12,33,53.12
"eir_30","IBM",12,33,75.76
"seasonal","IBM",12,33,56.87
"eir_0.3","IBM",13,33,55.17
"eir_30","IBM",13,33,80.2
"seasonal","IBM",13,33,61.2
