"eir","metric","mid","lo","hi","model","scenario"
"EIR 3","clinical incidence, all ages",0.6808655149,0.6656955298,0.6960355,"IBM","Radical cure
CQ + tafenoquine at 60%"
"EIR 3","relapse incidence, all ages",0.3695500376,0.3463587254,0.3927413499,"IBM","Radical cure
CQ + tafenoquine at 60%"
"EIR 10","LM prevalence, ages 2–10",0.5694361223,0.5539945227,0.5848777219,"IBM","Radical cure
CQ + tafenoquine at 60%"
"EIR 10","clinical incidence, ages 0–5",0.6014502866,0.5847836404,0.6181169328,"IBM","Radical cure
CQ + tafenoquine at 60%"
"EIR 10","clinical incidence, all ages",0.5823184832,0.5672958607,0.5973411058,"IBM","Radical cure
CQ + tafenoquine at 60%"
"EIR 10","relapse incidence, all ages",0.2303490281,0.2189914962,0.2417065599,"IBM","Radical cure
CQ + tafenoquine at 60%"
"EIR 1","LM prevalence, ages 2–10",0.4703539649,0.4236642066,0.5170437233,"IBM","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 1","clinical incidence, ages 0–5",0.2794464741,0.2072936578,0.3515992904,"IBM","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 1","clinical incidence, all ages",0.2703536247,0.2188550848,0.3218521646,"IBM","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 1","relapse incidence, all ages",0.2304953021,0.1741248021,0.2868658022,"IBM","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 3","LM prevalence, ages 2–10",0.3773544814,0.3471858441,0.4075231187,"IBM","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 3","clinical incidence, ages 0–5",0.1823032298,0.1353170958,0.2292893637,"IBM","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 3","clinical incidence, all ages",0.1861837267,0.1450453663,0.227322087,"IBM","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 3","relapse incidence, all ages",0.1497814092,0.1266461163,0.1729167021,"IBM","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 10","LM prevalence, ages 2–10",0.2737926994,0.2546658717,0.2929195272,"IBM","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 10","clinical incidence, ages 0–5",0.1330329689,0.09235253371,0.1737134041,"IBM","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 10","clinical incidence, all ages",0.1242881779,0.09228822974,0.156288126,"IBM","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 10","relapse incidence, all ages",0.08380609953,0.06545453994,0.1021576591,"IBM","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 3","LM prevalence, ages 2–10",0.7135007065,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 3","clinical incidence, ages 0–5",0.797656621,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 3","clinical incidence, all ages",0.7810150959,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 3","relapse incidence, all ages",0.659649345,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
