"scenario","model","rep","age_lo","age_hi","age_mid","pop_frac","prev","clin"
"eir_10","IBM",1,10,15,12.5,0.134179,0.113759,0.58601
"eir_10","IBM",1,15,20,17.5,0.105655,0.086285,0.282167
"eir_10","IBM",1,20,30,25,0.149651,0.0631794,0.165483
"eir_10","IBM",1,30,40,35,0.0894666,0.0519196,0.117007
"eir_10","IBM",1,40,60,50,0.0907665,0.0524,0.086592
"eir_10","IBM",1,60,85,72.5,0.0422742,0.0486122,0.058501
"demography","IBM",1,0,1,0.5,0.0174723,0.0228842,0.460615
"demography","IBM",1,1,2,1.5,0.0166794,0.0294868,0.585476
"demography","IBM",1,2,3,2.5,0.0162973,0.0519892,1.01244
"demography","IBM",1,3,5,4,0.0328133,0.0713999,1.14321
"demography","IBM",1,5,7,6,0.0337191,0.0813698,1.12349
"demography","IBM",1,7,10,8.5,0.0510381,0.0873507,1.02001
"demography","IBM",1,10,15,12.5,0.0825215,0.077594,0.745934
"demography","IBM",1,15,20,17.5,0.0796582,0.0626726,0.536441
"demography","IBM",1,20,30,25,0.157164,0.0541904,0.385237
"demography","IBM",1,30,40,35,0.153194,0.0485541,0.257179
"demography","IBM",1,40,60,50,0.233956,0.0450195,0.152855
"demography","IBM",1,60,85,72.5,0.125486,0.0468561,0.105997
"eir_1","IBM",2,0,1,0.5,0.0479152,0.0075776,0.155732
"eir_1","IBM",2,1,2,1.5,0.0455741,0.0185745,0.373397
"eir_1","IBM",2,2,3,2.5,0.043584,0.0258409,0.477213
"eir_1","IBM",2,3,5,4,0.0830096,0.0368506,0.61867
"eir_1","IBM",2,5,7,6,0.0747126,0.0471907,0.772789
"eir_1","IBM",2,7,10,8.5,0.10198,0.053845,0.780376
"eir_1","IBM",2,10,15,12.5,0.130593,0.0481249,0.543721
"eir_1","IBM",2,15,20,17.5,0.105135,0.0480128,0.481729
"eir_1","IBM",2,20,30,25,0.141561,0.041597,0.371368
"eir_1","IBM",2,30,40,35,0.0922237,0.038779,0.292159
"eir_1","IBM",2,40,60,50,0.0939175,0.0378994,0.269993
"eir_1","IBM",2,60,85,72.5,0.0397945,0.0344664,0.169694
"eir_3","IBM",2,0,1,0.5,0.0459117,0.0248704,0.505626
"eir_3","IBM",2,1,2,1.5,0.0453053,0.0580898,1.13741
"eir_3","IBM",2,2,3,2.5,0.0438195,0.0800794,1.40577
"eir_3","IBM",2,3,5,4,0.0829188,0.0922054,1.42549
"eir_3","IBM",2,5,7,6,0.0771914,0.0914959,1.13509
"eir_3","IBM",2,7,10,8.5,0.100049,0.0985736,0.991603
"eir_3","IBM",2,10,15,12.5,0.134742,0.0830321,0.76563
"eir_3","IBM",2,15,20,17.5,0.101426,0.0650544,0.551703
"eir_3","IBM",2,20,30,25,0.147434,0.060362,0.335765
"eir_3","IBM",2,30,40,35,0.0905689,0.0488148,0.172742
"eir_3","IBM",2,40,60,50,0.0931224,0.0475826,0.118293
"eir_3","IBM",2,60,85,72.5,0.0375098,0.0440897,0.094589
"eir_10","IBM",2,0,1,0.5,0.0469028,0.0687176,1.35447
"eir_10","IBM",2,1,2,1.5,0.0443053,0.143198,2.84635
"eir_10","IBM",2,2,3,2.5,0.042686,0.183216,2.95353
"eir_10","IBM",2,3,5,4,0.0828014,0.189759,2.14132
"eir_10","IBM",2,5,7,6,0.0748632,0.175331,1.67999
"eir_10","IBM",2,7,10,8.5,0.0971091,0.154769,1.19814
"eir_10","IBM",2,10,15,12.5,0.131058,0.117914,0.570048
"eir_10","IBM",2,15,20,17.5,0.105252,0.0877746,0.291975
"eir_10","IBM",2,20,30,25,0.150479,0.069152,0.157837
"eir_10","IBM",2,30,40,35,0.0877444,0.0543456,0.115071
"eir_10","IBM",2,40,60,50,0.0934259,0.0509334,0.0906651
"eir_10","IBM",2,60,85,72.5,0.0433731,0.0443621,0.0617127
"demography","IBM",2,0,1,0.5,0.0183229,0.0186686,0.386534
"demography","IBM",2,1,2,1.5,0.017411,0.0458043,0.889101
"demography","IBM",2,2,3,2.5,0.0168138,0.0608349,1.14133
"demography","IBM",2,3,5,4,0.0342886,0.0684819,1.13604
"demography","IBM",2,5,7,6,0.0331286,0.0746339,1.07911
"demography","IBM",2,7,10,8.5,0.0479389,0.0746094,0.804823
"demography","IBM",2,10,15,12.5,0.0838827,0.0718265,0.698779
"demography","IBM",2,15,20,17.5,0.0798877,0.061118,0.541216
"demography","IBM",2,20,30,25,0.16977,0.0535196,0.397908
"demography","IBM",2,30,40,35,0.148539,0.0470168,0.23863
"demography","IBM",2,40,60,50,0.231347,0.0452945,0.131785
"demography","IBM",2,60,85,72.5,0.11867,0.0474628,0.108848
"eir_1","IBM",3,0,1,0.5,0.0497301,0.00810621,0.172805
"eir_1","IBM",3,1,2,1.5,0.0466644,0.0206186,0.39804
"eir_1","IBM",3,2,3,2.5,0.0422469,0.0267524,0.482906
"eir_1","IBM",3,3,5,4,0.0786595,0.0337025,0.602598
"eir_1","IBM",3,5,7,6,0.0735444,0.0411448,0.673951
"eir_1","IBM",3,7,10,8.5,0.0920964,0.0475542,0.709749
"eir_1","IBM",3,10,15,12.5,0.133849,0.0473083,0.594264
"eir_1","IBM",3,15,20,17.5,0.102192,0.0495165,0.545606
"eir_1","IBM",3,20,30,25,0.153227,0.0356855,0.297864
"eir_1","IBM",3,30,40,35,0.0955279,0.0362873,0.252168
"eir_1","IBM",3,40,60,50,0.0928522,0.0349141,0.221175
"eir_1","IBM",3,60,85,72.5,0.0394105,0.0287319,0.158818
"eir_3","IBM",3,0,1,0.5,0.0467737,0.0228174,0.4809
"eir_3","IBM",3,1,2,1.5,0.0438714,0.0557153,1.1538
"eir_3","IBM",3,2,3,2.5,0.0412521,0.0756001,1.35207
"eir_3","IBM",3,3,5,4,0.0806397,0.093166,1.42288
"eir_3","IBM",3,5,7,6,0.0742646,0.0958006,1.24534
"eir_3","IBM",3,7,10,8.5,0.0985827,0.0907658,0.939517
"eir_3","IBM",3,10,15,12.5,0.133203,0.0793922,0.769447
"eir_3","IBM",3,15,20,17.5,0.103982,0.0691974,0.552712
"eir_3","IBM",3,20,30,25,0.147698,0.0593069,0.339961
"eir_3","IBM",3,30,40,35,0.0906267,0.0526132,0.21563
"eir_3","IBM",3,40,60,50,0.0991839,0.0492959,0.140244
"eir_3","IBM",3,60,85,72.5,0.0399216,0.0446478,0.122376
"eir_10","IBM",3,0,1,0.5,0.0460134,0.0637258,1.32196
"eir_10","IBM",3,1,2,1.5,0.0448889,0.139903,2.71091
"eir_10","IBM",3,2,3,2.5,0.0439064,0.181017,2.92243
"eir_10","IBM",3,3,5,4,0.0812476,0.192449,2.17448
"eir_10","IBM",3,5,7,6,0.071032,0.181251,1.66321
"eir_10","IBM",3,7,10,8.5,0.0973275,0.155003,1.21524
"eir_10","IBM",3,10,15,12.5,0.133165,0.115525,0.588749
"eir_10","IBM",3,15,20,17.5,0.105168,0.0870816,0.252564
"eir_10","IBM",3,20,30,25,0.14932,0.0671061,0.161588
"eir_10","IBM",3,30,40,35,0.0957922,0.0545693,0.125236
"eir_10","IBM",3,40,60,50,0.0929222,0.0550162,0.121103
"eir_10","IBM",3,60,85,72.5,0.0392173,0.0520888,0.0491166
"demography","IBM",3,0,1,0.5,0.0167477,0.0203703,0.440556
"demography","IBM",3,1,2,1.5,0.0167487,0.0543119,1.16469
"demography","IBM",3,2,3,2.5,0.0173269,0.0725031,1.30665
"demography","IBM",3,3,5,4,0.0344585,0.0848234,1.35023
"demography","IBM",3,5,7,6,0.0335207,0.0896472,1.25232
"demography","IBM",3,7,10,8.5,0.0485327,0.083082,1.00657
"demography","IBM",3,10,15,12.5,0.0821466,0.0749101,0.733724
"demography","IBM",3,15,20,17.5,0.0825633,0.0631465,0.540272
"demography","IBM",3,20,30,25,0.161631,0.0534557,0.387913
"demography","IBM",3,30,40,35,0.147459,0.0491438,0.248126
"demography","IBM",3,40,60,50,0.230734,0.0464972,0.1466
"demography","IBM",3,60,85,72.5,0.128132,0.0456678,0.125422
"eir_1","IBM",4,0,1,0.5,0.0462325,0.0101181,0.185789
"eir_1","IBM",4,1,2,1.5,0.0434797,0.0229664,0.459658
"eir_1","IBM",4,2,3,2.5,0.0412282,0.0333466,0.651269
"eir_1","IBM",4,3,5,4,0.0780622,0.0389219,0.653273
"eir_1","IBM",4,5,7,6,0.074806,0.0505838,0.815067
"eir_1","IBM",4,7,10,8.5,0.0960968,0.0529747,0.72985
"eir_1","IBM",4,10,15,12.5,0.130818,0.0501956,0.588611
"eir_1","IBM",4,15,20,17.5,0.108892,0.0473829,0.484154
"eir_1","IBM",4,20,30,25,0.151265,0.039395,0.349425
"eir_1","IBM",4,30,40,35,0.0951176,0.0390622,0.274467
"eir_1","IBM",4,40,60,50,0.0926626,0.0346029,0.214954
"eir_1","IBM",4,60,85,72.5,0.0413389,0.0400683,0.255229
"eir_3","IBM",4,0,1,0.5,0.0480269,0.026849,0.551569
