"scenario","model","rep","age_lo","age_hi","age_mid","pop_frac","prev","clin"
"eir_1","IBM",8,15,20,17.5,0.108756,0.0427741,0.432557
"eir_1","IBM",8,20,30,25,0.14544,0.0373752,0.326483
"eir_1","IBM",8,30,40,35,0.0907496,0.0321083,0.253409
"eir_1","IBM",8,40,60,50,0.0911107,0.0353856,0.244598
"eir_1","IBM",8,60,85,72.5,0.0439547,0.0324405,0.208044
"eir_3","IBM",8,0,1,0.5,0.0463398,0.0233004,0.468668
"eir_3","IBM",8,1,2,1.5,0.0449771,0.054512,1.10563
"eir_3","IBM",8,2,3,2.5,0.0430677,0.0786832,1.40208
"eir_3","IBM",8,3,5,4,0.0796936,0.093911,1.45386
"eir_3","IBM",8,5,7,6,0.0740877,0.0948409,1.21867
"eir_3","IBM",8,7,10,8.5,0.0952539,0.0932613,0.927986
"eir_3","IBM",8,10,15,12.5,0.129001,0.0857481,0.810308
"eir_3","IBM",8,15,20,17.5,0.108142,0.0701611,0.607491
"eir_3","IBM",8,20,30,25,0.147909,0.0584145,0.327059
"eir_3","IBM",8,30,40,35,0.0943569,0.0507466,0.209733
"eir_3","IBM",8,40,60,50,0.0971827,0.0505632,0.143415
"eir_3","IBM",8,60,85,72.5,0.0399885,0.0470353,0.0685227
"eir_10","IBM",8,0,1,0.5,0.0473186,0.0670448,1.28676
"eir_10","IBM",8,1,2,1.5,0.0450371,0.142232,2.79863
"eir_10","IBM",8,2,3,2.5,0.042417,0.173387,2.85973
"eir_10","IBM",8,3,5,4,0.0758497,0.189445,2.23009
"eir_10","IBM",8,5,7,6,0.0700267,0.186386,1.82023
"eir_10","IBM",8,7,10,8.5,0.0932868,0.156485,1.24295
"eir_10","IBM",8,10,15,12.5,0.135699,0.114047,0.546523
"eir_10","IBM",8,15,20,17.5,0.108843,0.0869494,0.288726
"eir_10","IBM",8,20,30,25,0.148076,0.0672925,0.207883
"eir_10","IBM",8,30,40,35,0.0967131,0.054775,0.13971
"eir_10","IBM",8,40,60,50,0.095226,0.0518424,0.0810811
"eir_10","IBM",8,60,85,72.5,0.041507,0.0529396,0.0807706
"demography","IBM",8,0,1,0.5,0.0178373,0.0195685,0.399013
"demography","IBM",8,1,2,1.5,0.0176698,0.0391996,0.796047
"demography","IBM",8,2,3,2.5,0.0168768,0.0509473,0.975359
"demography","IBM",8,3,5,4,0.0336653,0.0753119,1.24744
"demography","IBM",8,5,7,6,0.0331719,0.0890354,1.206
"demography","IBM",8,7,10,8.5,0.0498273,0.0832834,0.840791
"demography","IBM",8,10,15,12.5,0.0807716,0.0769554,0.747111
"demography","IBM",8,15,20,17.5,0.0759787,0.0630955,0.507888
"demography","IBM",8,20,30,25,0.157875,0.0515643,0.354032
"demography","IBM",8,30,40,35,0.158409,0.0474933,0.216558
"demography","IBM",8,40,60,50,0.233996,0.0425087,0.141559
"demography","IBM",8,60,85,72.5,0.123921,0.0391512,0.0868317
"eir_1","IBM",9,0,1,0.5,0.0484408,0.0079291,0.160629
"eir_1","IBM",9,1,2,1.5,0.046932,0.0205252,0.416646
"eir_1","IBM",9,2,3,2.5,0.0448962,0.0305829,0.560624
"eir_1","IBM",9,3,5,4,0.0793136,0.0368788,0.642797
"eir_1","IBM",9,5,7,6,0.0713779,0.0474405,0.756445
"eir_1","IBM",9,7,10,8.5,0.0973891,0.053509,0.750329
"eir_1","IBM",9,10,15,12.5,0.129458,0.0499259,0.601047
"eir_1","IBM",9,15,20,17.5,0.0987941,0.0430304,0.417085
"eir_1","IBM",9,20,30,25,0.151216,0.0425711,0.366905
"eir_1","IBM",9,30,40,35,0.0956893,0.0393201,0.310766
"eir_1","IBM",9,40,60,50,0.0943552,0.0358947,0.240942
"eir_1","IBM",9,60,85,72.5,0.0421375,0.0357965,0.231224
"eir_3","IBM",9,0,1,0.5,0.0482194,0.0254969,0.503295
"eir_3","IBM",9,1,2,1.5,0.0459812,0.0508935,1.01204
"eir_3","IBM",9,2,3,2.5,0.0438421,0.077894,1.45083
"eir_3","IBM",9,3,5,4,0.0770743,0.0959151,1.51403
"eir_3","IBM",9,5,7,6,0.0693347,0.10005,1.33008
"eir_3","IBM",9,7,10,8.5,0.0980397,0.0911114,0.989807
"eir_3","IBM",9,10,15,12.5,0.138274,0.0817618,0.753103
"eir_3","IBM",9,15,20,17.5,0.105671,0.0733508,0.555362
"eir_3","IBM",9,20,30,25,0.149158,0.0601352,0.341792
"eir_3","IBM",9,30,40,35,0.0916233,0.0516604,0.179299
"eir_3","IBM",9,40,60,50,0.0938866,0.0455855,0.126533
"eir_3","IBM",9,60,85,72.5,0.0388956,0.0508119,0.0968637
"eir_10","IBM",9,0,1,0.5,0.0486293,0.0657756,1.32825
"eir_10","IBM",9,1,2,1.5,0.0465277,0.143829,2.84486
"eir_10","IBM",9,2,3,2.5,0.0431326,0.178469,2.74795
"eir_10","IBM",9,3,5,4,0.0822376,0.185441,2.05965
"eir_10","IBM",9,5,7,6,0.0752453,0.183859,1.68627
"eir_10","IBM",9,7,10,8.5,0.0975826,0.156176,1.19763
"eir_10","IBM",9,10,15,12.5,0.130692,0.116266,0.542645
"eir_10","IBM",9,15,20,17.5,0.103931,0.0860535,0.286817
"eir_10","IBM",9,20,30,25,0.145605,0.0666609,0.153835
"eir_10","IBM",9,30,40,35,0.0894598,0.0564762,0.124813
"eir_10","IBM",9,40,60,50,0.0968061,0.052086,0.0898264
"eir_10","IBM",9,60,85,72.5,0.0401507,0.0492653,0.0573046
"demography","IBM",9,0,1,0.5,0.0180247,0.026138,0.519432
"demography","IBM",9,1,2,1.5,0.0175199,0.0504326,0.966915
"demography","IBM",9,2,3,2.5,0.0176927,0.0685372,1.29059
"demography","IBM",9,3,5,4,0.0348892,0.0789613,1.2906
"demography","IBM",9,5,7,6,0.0362845,0.0807005,1.11752
"demography","IBM",9,7,10,8.5,0.0499858,0.0854125,0.944611
"demography","IBM",9,10,15,12.5,0.0811545,0.0709248,0.616677
"demography","IBM",9,15,20,17.5,0.0798978,0.0669648,0.553454
"demography","IBM",9,20,30,25,0.152674,0.0570327,0.401034
"demography","IBM",9,30,40,35,0.152523,0.0483098,0.232732
"demography","IBM",9,40,60,50,0.230414,0.0470843,0.14558
"demography","IBM",9,60,85,72.5,0.128941,0.0428693,0.0856714
"eir_1","IBM",10,0,1,0.5,0.0459058,0.0102345,0.194708
"eir_1","IBM",10,1,2,1.5,0.045609,0.0202361,0.389723
"eir_1","IBM",10,2,3,2.5,0.0434956,0.0251391,0.480272
"eir_1","IBM",10,3,5,4,0.0800586,0.0347474,0.606864
"eir_1","IBM",10,5,7,6,0.0709972,0.0444541,0.702916
"eir_1","IBM",10,7,10,8.5,0.0924602,0.0447179,0.638614
"eir_1","IBM",10,10,15,12.5,0.130102,0.0467642,0.540503
"eir_1","IBM",10,15,20,17.5,0.106572,0.0450109,0.418715
"eir_1","IBM",10,20,30,25,0.15738,0.0416977,0.368514
"eir_1","IBM",10,30,40,35,0.0961292,0.036024,0.252881
"eir_1","IBM",10,40,60,50,0.0894734,0.0364147,0.2558
"eir_1","IBM",10,60,85,72.5,0.0418158,0.0344586,0.183795
"eir_3","IBM",10,0,1,0.5,0.0467712,0.0233074,0.461178
"eir_3","IBM",10,1,2,1.5,0.0446297,0.0570227,1.14161
"eir_3","IBM",10,2,3,2.5,0.0423674,0.0818186,1.4667
"eir_3","IBM",10,3,5,4,0.0809088,0.0937288,1.45499
"eir_3","IBM",10,5,7,6,0.0736434,0.0951135,1.27717
"eir_3","IBM",10,7,10,8.5,0.0984947,0.0922389,0.981015
"eir_3","IBM",10,10,15,12.5,0.129253,0.0828863,0.74887
"eir_3","IBM",10,15,20,17.5,0.105969,0.071364,0.56279
"eir_3","IBM",10,20,30,25,0.148042,0.0583925,0.346669
"eir_3","IBM",10,30,40,35,0.094895,0.0509109,0.184549
"eir_3","IBM",10,40,60,50,0.0899554,0.0488649,0.11463
"eir_3","IBM",10,60,85,72.5,0.0450708,0.0473152,0.104267
"eir_10","IBM",10,0,1,0.5,0.046715,0.0612123,1.26894
"eir_10","IBM",10,1,2,1.5,0.044256,0.139141,2.78611
"eir_10","IBM",10,2,3,2.5,0.0422609,0.177154,2.80616
"eir_10","IBM",10,3,5,4,0.079533,0.184356,2.10943
"eir_10","IBM",10,5,7,6,0.0726664,0.169355,1.60727
"eir_10","IBM",10,7,10,8.5,0.095094,0.150268,1.16583
"eir_10","IBM",10,10,15,12.5,0.130802,0.115446,0.533003
"eir_10","IBM",10,15,20,17.5,0.107414,0.0833949,0.257162
"eir_10","IBM",10,20,30,25,0.151749,0.0660707,0.158801
"eir_10","IBM",10,30,40,35,0.095348,0.054838,0.137209
"eir_10","IBM",10,40,60,50,0.0935606,0.0511803,0.108677
"eir_10","IBM",10,60,85,72.5,0.0406021,0.0466961,0.0467464
"demography","IBM",10,0,1,0.5,0.0187556,0.0135469,0.283987
"demography","IBM",10,1,2,1.5,0.0178572,0.036458,0.743796
"demography","IBM",10,2,3,2.5,0.0173926,0.0499429,0.967183
"demography","IBM",10,3,5,4,0.0336445,0.072189,1.15728
"demography","IBM",10,5,7,6,0.0342144,0.0827802,1.19614
"demography","IBM",10,7,10,8.5,0.0490726,0.0804329,0.888929
"demography","IBM",10,10,15,12.5,0.083096,0.073864,0.696566
"demography","IBM",10,15,20,17.5,0.0803047,0.0640494,0.579728
"demography","IBM",10,20,30,25,0.164113,0.0525785,0.401583
"demography","IBM",10,30,40,35,0.153554,0.0459377,0.228101
"demography","IBM",10,40,60,50,0.227076,0.041821,0.120844
"demography","IBM",10,60,85,72.5,0.12092,0.0420466,0.0800121
"eir_1","IBM",11,0,1,0.5,0.0449195,0.0105256,0.213855
"eir_1","IBM",11,1,2,1.5,0.0444314,0.0223754,0.443066
"eir_1","IBM",11,2,3,2.5,0.0425508,0.0310479,0.571552
"eir_1","IBM",11,3,5,4,0.0821293,0.0411329,0.714557
"eir_1","IBM",11,5,7,6,0.0744721,0.0531395,0.854339
"eir_1","IBM",11,7,10,8.5,0.0977799,0.0520058,0.745475
"eir_1","IBM",11,10,15,12.5,0.135548,0.0543693,0.645314
"eir_1","IBM",11,15,20,17.5,0.10265,0.0473845,0.45671
"eir_1","IBM",11,20,30,25,0.146496,0.042018,0.372199
"eir_1","IBM",11,30,40,35,0.0924208,0.0377147,0.259485
"eir_1","IBM",11,40,60,50,0.0942954,0.0376784,0.246793
"eir_1","IBM",11,60,85,72.5,0.0423075,0.0354255,0.198276
"eir_3","IBM",11,0,1,0.5,0.0475765,0.0223738,0.450601
"eir_3","IBM",11,1,2,1.5,0.044809,0.0572612,1.15369
"eir_3","IBM",11,2,3,2.5,0.0426544,0.0760237,1.36306
"eir_3","IBM",11,3,5,4,0.0786373,0.0932126,1.49682
"eir_3","IBM",11,5,7,6,0.0696305,0.101286,1.30509
"eir_3","IBM",11,7,10,8.5,0.0927352,0.0900618,0.930552
"eir_3","IBM",11,10,15,12.5,0.127859,0.0794263,0.738329
"eir_3","IBM",11,15,20,17.5,0.107363,0.0686394,0.53174
"eir_3","IBM",11,20,30,25,0.155704,0.057639,0.353796
"eir_3","IBM",11,30,40,35,0.0904324,0.0497153,0.201802
"eir_3","IBM",11,40,60,50,0.0976992,0.0463561,0.146865
"eir_3","IBM",11,60,85,72.5,0.0448992,0.044603,0.112568
"eir_10","IBM",11,0,1,0.5,0.0447676,0.0583653,1.19787
"eir_10","IBM",11,1,2,1.5,0.0439387,0.12983,2.58022
"eir_10","IBM",11,2,3,2.5,0.0441404,0.173779,2.87483
"eir_10","IBM",11,3,5,4,0.0847689,0.183737,2.14114
"eir_10","IBM",11,5,7,6,0.0771869,0.173617,1.53581
"eir_10","IBM",11,7,10,8.5,0.0956594,0.145311,1.09538
"eir_10","IBM",11,10,15,12.5,0.130901,0.117745,0.582471
"eir_10","IBM",11,15,20,17.5,0.103361,0.0906268,0.301281
"eir_10","IBM",11,20,30,25,0.145321,0.0690521,0.206611
"eir_10","IBM",11,30,40,35,0.091365,0.0552142,0.138038
"eir_10","IBM",11,40,60,50,0.0966806,0.0505994,0.0944266
"eir_10","IBM",11,60,85,72.5,0.0419095,0.052284,0.0830987
"demography","IBM",11,0,1,0.5,0.0172972,0.015003,0.324307
"demography","IBM",11,1,2,1.5,0.0175393,0.0374517,0.730216
"demography","IBM",11,2,3,2.5,0.0179885,0.0515759,0.967467
"demography","IBM",11,3,5,4,0.0340385,0.0721167,1.15361
"demography","IBM",11,5,7,6,0.0316433,0.0824412,1.1021
"demography","IBM",11,7,10,8.5,0.0483647,0.0876486,0.939063
"demography","IBM",11,10,15,12.5,0.079364,0.0757413,0.716187
"demography","IBM",11,15,20,17.5,0.081444,0.0583788,0.466786
"demography","IBM",11,20,30,25,0.161181,0.0520128,0.375077
"demography","IBM",11,30,40,35,0.154391,0.0463482,0.217784
"demography","IBM",11,40,60,50,0.234815,0.0451649,0.135278
"demography","IBM",11,60,85,72.5,0.121934,0.042524,0.0997707
"eir_1","IBM",12,0,1,0.5,0.0470028,0.00978091,0.194258
"eir_1","IBM",12,1,2,1.5,0.0450808,0.0216762,0.415583
"eir_1","IBM",12,2,3,2.5,0.0436027,0.0316584,0.602624
"eir_1","IBM",12,3,5,4,0.0801193,0.0385926,0.668163
"eir_1","IBM",12,5,7,6,0.0720097,0.0464616,0.747167
"eir_1","IBM",12,7,10,8.5,0.0952788,0.0544949,0.813499
"eir_1","IBM",12,10,15,12.5,0.133728,0.0508437,0.598317
"eir_1","IBM",12,15,20,17.5,0.107552,0.0473917,0.443974
"eir_1","IBM",12,20,30,25,0.142119,0.0423688,0.378103
"eir_1","IBM",12,30,40,35,0.0970095,0.0424382,0.331516
"eir_1","IBM",12,40,60,50,0.0930827,0.0341685,0.212169
"eir_1","IBM",12,60,85,72.5,0.0434146,0.0390259,0.271071
"eir_3","IBM",12,0,1,0.5,0.0473994,0.020301,0.405767
"eir_3","IBM",12,1,2,1.5,0.045647,0.0515557,1.02231
"eir_3","IBM",12,2,3,2.5,0.0443848,0.0737644,1.38664
"eir_3","IBM",12,3,5,4,0.0799709,0.0970477,1.51558
"eir_3","IBM",12,5,7,6,0.0730246,0.105598,1.38435
"eir_3","IBM",12,7,10,8.5,0.0951746,0.0987488,1.01148
"eir_3","IBM",12,10,15,12.5,0.128942,0.0897921,0.805471
"eir_3","IBM",12,15,20,17.5,0.109404,0.0707884,0.589697
"eir_3","IBM",12,20,30,25,0.150276,0.0596397,0.350724
"eir_3","IBM",12,30,40,35,0.0919948,0.0554377,0.163219
"eir_3","IBM",12,40,60,50,0.0914504,0.0505223,0.121021
"eir_3","IBM",12,60,85,72.5,0.0423318,0.0492449,0.0956509
"eir_10","IBM",12,0,1,0.5,0.0479663,0.0596298,1.18092
"eir_10","IBM",12,1,2,1.5,0.0457256,0.135208,2.68613
"eir_10","IBM",12,2,3,2.5,0.0425393,0.167519,2.74583
"eir_10","IBM",12,3,5,4,0.0777838,0.188424,2.15816
"eir_10","IBM",12,5,7,6,0.0710605,0.177518,1.69515
"eir_10","IBM",12,7,10,8.5,0.099382,0.15209,1.08583
"eir_10","IBM",12,10,15,12.5,0.133964,0.114738,0.587925
"eir_10","IBM",12,15,20,17.5,0.101062,0.0871763,0.263346
"eir_10","IBM",12,20,30,25,0.15313,0.0674074,0.156356
"eir_10","IBM",12,30,40,35,0.095284,0.057105,0.130608
"eir_10","IBM",12,40,60,50,0.0884594,0.0473165,0.0737827
"eir_10","IBM",12,60,85,72.5,0.043642,0.0511721,0.0658652
"demography","IBM",12,0,1,0.5,0.0169606,0.021721,0.429625
"demography","IBM",12,1,2,1.5,0.016827,0.049027,0.980347
"demography","IBM",12,2,3,2.5,0.0167879,0.0558963,1.01076
"demography","IBM",12,3,5,4,0.0344552,0.0705616,1.14358
"demography","IBM",12,5,7,6,0.0326842,0.0894798,1.26438
"demography","IBM",12,7,10,8.5,0.0464924,0.0819805,0.922959
"demography","IBM",12,10,15,12.5,0.081459,0.0761094,0.744194
"demography","IBM",12,15,20,17.5,0.0807769,0.0681376,0.604309
"demography","IBM",12,20,30,25,0.158583,0.0552055,0.358868
"demography","IBM",12,30,40,35,0.152124,0.0476312,0.212666
"demography","IBM",12,40,60,50,0.239942,0.0438638,0.12513
"demography","IBM",12,60,85,72.5,0.122907,0.0457746,0.0913996
"eir_1","IBM",13,0,1,0.5,0.0484239,0.00941649,0.188924
"eir_1","IBM",13,1,2,1.5,0.0442127,0.0212378,0.431465
"eir_1","IBM",13,2,3,2.5,0.0411944,0.0290901,0.552732
"eir_1","IBM",13,3,5,4,0.0774614,0.0338012,0.595766
"eir_1","IBM",13,5,7,6,0.0726244,0.0474517,0.766547
"eir_1","IBM",13,7,10,8.5,0.0971229,0.0506156,0.728438
"eir_1","IBM",13,10,15,12.5,0.138543,0.0513584,0.633673
"eir_1","IBM",13,15,20,17.5,0.104767,0.0482685,0.461836
"eir_1","IBM",13,20,30,25,0.145862,0.0392594,0.344495
"eir_1","IBM",13,30,40,35,0.0934997,0.0383059,0.25947
"eir_1","IBM",13,40,60,50,0.0961568,0.0336638,0.225872
"eir_1","IBM",13,60,85,72.5,0.0401316,0.0313479,0.14522
"eir_3","IBM",13,0,1,0.5,0.0468733,0.0230254,0.461092
"eir_3","IBM",13,1,2,1.5,0.0451062,0.0578988,1.20051
"eir_3","IBM",13,2,3,2.5,0.0433913,0.0745467,1.36176
"eir_3","IBM",13,3,5,4,0.0806127,0.0924085,1.40767
"eir_3","IBM",13,5,7,6,0.0718031,0.101729,1.32224
"eir_3","IBM",13,7,10,8.5,0.0957407,0.0922149,0.946075
"eir_3","IBM",13,10,15,12.5,0.132211,0.0814631,0.73959
"eir_3","IBM",13,15,20,17.5,0.105139,0.0727725,0.562971
"eir_3","IBM",13,20,30,25,0.149935,0.0586113,0.332512
"eir_3","IBM",13,30,40,35,0.088487,0.0561532,0.206026
"eir_3","IBM",13,40,60,50,0.101111,0.0463763,0.130125
"eir_3","IBM",13,60,85,72.5,0.0395898,0.0522619,0.107646
"eir_10","IBM",13,0,1,0.5,0.0467483,0.0658776,1.3274
"eir_10","IBM",13,1,2,1.5,0.0447822,0.140806,2.87115
"eir_10","IBM",13,2,3,2.5,0.042969,0.187405,3.03012
"eir_10","IBM",13,3,5,4,0.0803518,0.18915,2.17695
"eir_10","IBM",13,5,7,6,0.0733409,0.174323,1.62666
"eir_10","IBM",13,7,10,8.5,0.0973493,0.153363,1.15872
"eir_10","IBM",13,10,15,12.5,0.135053,0.116696,0.530917
"eir_10","IBM",13,15,20,17.5,0.108287,0.0867985,0.303562
"eir_10","IBM",13,20,30,25,0.146845,0.0683877,0.175672
"eir_10","IBM",13,30,40,35,0.088295,0.0551498,0.125377
"eir_10","IBM",13,40,60,50,0.0972147,0.0509665,0.112132
"eir_10","IBM",13,60,85,72.5,0.0387632,0.0473449,0.0288204
"demography","IBM",13,0,1,0.5,0.0183527,0.020101,0.411481
"demography","IBM",13,1,2,1.5,0.0180896,0.0481547,1.01757
"demography","IBM",13,2,3,2.5,0.017573,0.0598355,1.10696
"demography","IBM",13,3,5,4,0.0346762,0.0652169,1.0889
"demography","IBM",13,5,7,6,0.0340065,0.0741119,1.06078
"demography","IBM",13,7,10,8.5,0.0495036,0.0826994,0.987493
"demography","IBM",13,10,15,12.5,0.0762723,0.070606,0.670535
"demography","IBM",13,15,20,17.5,0.0801819,0.0606455,0.498247
"demography","IBM",13,20,30,25,0.159611,0.0509936,0.364147
"demography","IBM",13,30,40,35,0.148434,0.0448704,0.225083
"demography","IBM",13,40,60,50,0.235043,0.0431292,0.151324
"demography","IBM",13,60,85,72.5,0.128256,0.0467544,0.111452
"eir_1","IBM",14,0,1,0.5,0.0463736,0.00801667,0.167747
"eir_1","IBM",14,1,2,1.5,0.0449746,0.0206507,0.456477
"eir_1","IBM",14,2,3,2.5,0.0442244,0.0269621,0.518519
"eir_1","IBM",14,3,5,4,0.0841886,0.0413384,0.719916
"eir_1","IBM",14,5,7,6,0.0741058,0.0440707,0.717004
"eir_1","IBM",14,7,10,8.5,0.0935082,0.0519678,0.764994
"eir_1","IBM",14,10,15,12.5,0.1305,0.0564715,0.683174
"eir_1","IBM",14,15,20,17.5,0.107144,0.0533773,0.500019
"eir_1","IBM",14,20,30,25,0.147838,0.0410782,0.363068
"eir_1","IBM",14,30,40,35,0.0938365,0.0388291,0.293033
"eir_1","IBM",14,40,60,50,0.0943341,0.0354201,0.2689
"eir_1","IBM",14,60,85,72.5,0.0389721,0.0371082,0.2699
"eir_3","IBM",14,0,1,0.5,0.0471333,0.0225759,0.439046
"eir_3","IBM",14,1,2,1.5,0.0446778,0.052951,1.08455
"eir_3","IBM",14,2,3,2.5,0.0435851,0.0716672,1.30352
"eir_3","IBM",14,3,5,4,0.0820664,0.091189,1.47361
"eir_3","IBM",14,5,7,6,0.0733707,0.0982243,1.28563
"eir_3","IBM",14,7,10,8.5,0.0960836,0.0971098,1.02876
"eir_3","IBM",14,10,15,12.5,0.134569,0.0802671,0.754999
"eir_3","IBM",14,15,20,17.5,0.10374,0.0688244,0.577138
"eir_3","IBM",14,20,30,25,0.152921,0.0598417,0.36397
"eir_3","IBM",14,30,40,35,0.0865904,0.0560397,0.206413
"eir_3","IBM",14,40,60,50,0.095686,0.0483709,0.137075
"eir_3","IBM",14,60,85,72.5,0.0395762,0.0445456,0.0901521
"eir_10","IBM",14,0,1,0.5,0.047714,0.0568745,1.12804
"eir_10","IBM",14,1,2,1.5,0.0448397,0.134974,2.65269
"eir_10","IBM",14,2,3,2.5,0.0423234,0.166422,2.73687
"eir_10","IBM",14,3,5,4,0.0793787,0.180179,2.08702
"eir_10","IBM",14,5,7,6,0.070573,0.174325,1.5747
"eir_10","IBM",14,7,10,8.5,0.0972164,0.150382,1.19777
"eir_10","IBM",14,10,15,12.5,0.136468,0.110862,0.550329
"eir_10","IBM",14,15,20,17.5,0.11033,0.0841236,0.238861
"eir_10","IBM",14,20,30,25,0.151397,0.0673625,0.161109
"eir_10","IBM",14,30,40,35,0.0895346,0.0593398,0.157938
"eir_10","IBM",14,40,60,50,0.0919806,0.047399,0.0860637
"eir_10","IBM",14,60,85,72.5,0.0382446,0.0469304,0.061035
"demography","IBM",14,0,1,0.5,0.0167062,0.0205891,0.443245
"demography","IBM",14,1,2,1.5,0.0168522,0.0515193,1.07255
"demography","IBM",14,2,3,2.5,0.0171484,0.0553993,1.02262
"demography","IBM",14,3,5,4,0.0351264,0.0845989,1.23706
"demography","IBM",14,5,7,6,0.0355215,0.094603,1.18161
"demography","IBM",14,7,10,8.5,0.0524055,0.0804764,0.873496
"demography","IBM",14,10,15,12.5,0.0795931,0.0770799,0.71806
"demography","IBM",14,15,20,17.5,0.0798445,0.0611254,0.543384
"demography","IBM",14,20,30,25,0.158229,0.0545327,0.400769
"demography","IBM",14,30,40,35,0.15299,0.0500392,0.229467
"demography","IBM",14,40,60,50,0.232574,0.0472269,0.141539
"demography","IBM",14,60,85,72.5,0.12301,0.0452159,0.108083
"eir_1","IBM",15,0,1,0.5,0.0466925,0.00633562,0.140591
"eir_1","IBM",15,1,2,1.5,0.0469767,0.0237308,0.46388
"eir_1","IBM",15,2,3,2.5,0.0444242,0.0333477,0.604026
"eir_1","IBM",15,3,5,4,0.078957,0.0397868,0.705838
"eir_1","IBM",15,5,7,6,0.0714123,0.0489662,0.784674
"eir_1","IBM",15,7,10,8.5,0.0980633,0.0555473,0.773627
"eir_1","IBM",15,10,15,12.5,0.136801,0.0465411,0.565195
"eir_1","IBM",15,15,20,17.5,0.103685,0.0454719,0.46244
"eir_1","IBM",15,20,30,25,0.144902,0.0429334,0.353552
"eir_1","IBM",15,30,40,35,0.0924587,0.0425507,0.312545
"eir_1","IBM",15,40,60,50,0.0934292,0.0402541,0.25461
"eir_1","IBM",15,60,85,72.5,0.0421973,0.0336774,0.197266
"eir_3","IBM",15,0,1,0.5,0.044556,0.0235291,0.463649
"eir_3","IBM",15,1,2,1.5,0.0428026,0.052242,1.03626
"eir_3","IBM",15,2,3,2.5,0.0418867,0.0753771,1.29021
"eir_3","IBM",15,3,5,4,0.0797502,0.0910031,1.39423
"eir_3","IBM",15,5,7,6,0.0725861,0.0960723,1.21004
"eir_3","IBM",15,7,10,8.5,0.0975088,0.0929058,0.966185
"eir_3","IBM",15,10,15,12.5,0.133525,0.0779447,0.740457
"eir_3","IBM",15,15,20,17.5,0.109787,0.0651246,0.502393
"eir_3","IBM",15,20,30,25,0.149518,0.0578693,0.300715
"eir_3","IBM",15,30,40,35,0.0940433,0.0514871,0.183416
"eir_3","IBM",15,40,60,50,0.0967951,0.0480561,0.105317
"eir_3","IBM",15,60,85,72.5,0.0372404,0.048224,0.0725136
"eir_10","IBM",15,0,1,0.5,0.0498394,0.0643247,1.26643
"eir_10","IBM",15,1,2,1.5,0.0469981,0.140337,2.81612
"eir_10","IBM",15,2,3,2.5,0.0437209,0.171441,2.87882
"eir_10","IBM",15,3,5,4,0.079989,0.196925,2.26461
"eir_10","IBM",15,5,7,6,0.073639,0.176011,1.52338
"eir_10","IBM",15,7,10,8.5,0.0915368,0.15077,1.09706
"eir_10","IBM",15,10,15,12.5,0.129632,0.117716,0.60003
"eir_10","IBM",15,15,20,17.5,0.105668,0.0900583,0.289391
"eir_10","IBM",15,20,30,25,0.149046,0.0699258,0.192244
"eir_10","IBM",15,30,40,35,0.094428,0.0528305,0.116653
"eir_10","IBM",15,40,60,50,0.0963965,0.0505378,0.0739604
"eir_10","IBM",15,60,85,72.5,0.039107,0.0497486,0.0466571
"demography","IBM",15,0,1,0.5,0.0175352,0.02115,0.438492
"demography","IBM",15,1,2,1.5,0.0176586,0.039085,0.783008
"demography","IBM",15,2,3,2.5,0.0183099,0.0615024,1.12352
"demography","IBM",15,3,5,4,0.0349438,0.0863848,1.34727
"demography","IBM",15,5,7,6,0.0315995,0.0872643,1.22198
"demography","IBM",15,7,10,8.5,0.0523063,0.0862607,0.983226
"demography","IBM",15,10,15,12.5,0.0786181,0.0750184,0.779418
"demography","IBM",15,15,20,17.5,0.0819533,0.0612991,0.573222
"demography","IBM",15,20,30,25,0.16028,0.053151,0.37263
"demography","IBM",15,30,40,35,0.146776,0.0482859,0.219425
"demography","IBM",15,40,60,50,0.230641,0.0470787,0.139346
"demography","IBM",15,60,85,72.5,0.129379,0.0457027,0.0912312
"eir_1","IBM",16,0,1,0.5,0.0472166,0.00876432,0.184212
"eir_1","IBM",16,1,2,1.5,0.0447688,0.0203096,0.402931
"eir_1","IBM",16,2,3,2.5,0.0429743,0.026569,0.511897
"eir_1","IBM",16,3,5,4,0.0773324,0.0356347,0.640268
"eir_1","IBM",16,5,7,6,0.0705107,0.0472524,0.772288
"eir_1","IBM",16,7,10,8.5,0.0985953,0.0530481,0.798421
"eir_1","IBM",16,10,15,12.5,0.132632,0.0491837,0.596846
"eir_1","IBM",16,15,20,17.5,0.106191,0.0475108,0.441089
"eir_1","IBM",16,20,30,25,0.149006,0.0407738,0.351824
"eir_1","IBM",16,30,40,35,0.0931041,0.0385733,0.303163
"eir_1","IBM",16,40,60,50,0.0974505,0.0361174,0.241715
"eir_1","IBM",16,60,85,72.5,0.040218,0.0385734,0.235622
"eir_3","IBM",16,0,1,0.5,0.0465087,0.0245241,0.48173
"eir_3","IBM",16,1,2,1.5,0.0449465,0.0528572,1.08128
"eir_3","IBM",16,2,3,2.5,0.043923,0.0747516,1.39465
"eir_3","IBM",16,3,5,4,0.083428,0.0995069,1.65592
"eir_3","IBM",16,5,7,6,0.0719232,0.097512,1.30485
"eir_3","IBM",16,7,10,8.5,0.0990885,0.0926073,0.943708
"eir_3","IBM",16,10,15,12.5,0.129009,0.0835442,0.780717
"eir_3","IBM",16,15,20,17.5,0.102458,0.0702075,0.596224
