"scenario","model","rep","doy","pvpr_2_10","clin_0_5"
"eir_10","IBM",1,39,0.165579,2.10997
"eir_10","IBM",1,46,0.171342,1.91575
"eir_10","IBM",1,53,0.175096,2.01522
"eir_10","IBM",1,60,0.169239,2.38241
"eir_10","IBM",1,67,0.16486,2.09134
"eir_10","IBM",1,74,0.170711,1.82303
"eir_10","IBM",1,81,0.171058,1.9948
"eir_10","IBM",1,88,0.168208,1.9662
"eir_10","IBM",1,95,0.164819,1.96487
"eir_10","IBM",1,102,0.161569,1.9897
"eir_10","IBM",1,109,0.159609,2.1653
"eir_10","IBM",1,116,0.16129,2.04365
"eir_10","IBM",1,123,0.159612,1.87407
"eir_10","IBM",1,130,0.163243,2.51622
"eir_10","IBM",1,137,0.16656,1.79961
"eir_10","IBM",1,144,0.170857,2.41902
"eir_10","IBM",1,151,0.172552,2.42115
"eir_10","IBM",1,158,0.165653,2.2211
"eir_10","IBM",1,165,0.159792,2.21929
"eir_10","IBM",1,172,0.157603,1.97311
"eir_10","IBM",1,179,0.157219,1.85066
"eir_10","IBM",1,186,0.165135,1.87851
"eir_10","IBM",1,193,0.16674,2.08034
"eir_10","IBM",1,200,0.161553,2.1316
"eir_10","IBM",1,207,0.164574,2.0104
"eir_10","IBM",1,214,0.166233,2.06482
"eir_10","IBM",1,221,0.161406,2.09483
"eir_10","IBM",1,228,0.168213,2.04818
"eir_10","IBM",1,235,0.168668,2.17292
"eir_10","IBM",1,242,0.161592,2.0232
"eir_10","IBM",1,249,0.156772,1.87077
"eir_10","IBM",1,256,0.155941,2.02099
"eir_10","IBM",1,263,0.157786,2.04846
"eir_10","IBM",1,270,0.160394,1.9283
"eir_10","IBM",1,277,0.158774,2.12253
"eir_10","IBM",1,284,0.159378,2.09569
"eir_10","IBM",1,291,0.153789,1.84583
"eir_10","IBM",1,298,0.157085,2.20241
"eir_10","IBM",1,305,0.160585,2.0307
"eir_10","IBM",1,312,0.16129,1.63047
"eir_10","IBM",1,319,0.161559,1.83165
"eir_10","IBM",1,326,0.167807,2.05719
"eir_10","IBM",1,333,0.170347,1.8839
"eir_10","IBM",1,340,0.167942,1.76037
"eir_10","IBM",1,347,0.165278,2.06513
"eir_10","IBM",1,354,0.158968,2.03995
"eir_10","IBM",1,361,0.155527,2.0106
"eir_10","IBM",1,365,0.155929,2.10881
"demography","IBM",1,4,0.0850414,0.897436
"demography","IBM",1,11,0.0805559,0.895549
"demography","IBM",1,18,0.0800304,1.01724
"demography","IBM",1,25,0.0784442,0.509243
"demography","IBM",1,32,0.0743802,0.572998
"demography","IBM",1,39,0.0727352,0.638782
"demography","IBM",1,46,0.0710388,1.0865
"demography","IBM",1,53,0.0740096,0.703522
"demography","IBM",1,60,0.072478,1.02817
"demography","IBM",1,67,0.0661669,1.02889
"demography","IBM",1,74,0.076898,0.834506
"demography","IBM",1,81,0.0797867,0.706369
"demography","IBM",1,88,0.076438,0.703152
"demography","IBM",1,95,0.0716846,0.639117
"demography","IBM",1,102,0.075443,1.02027
"demography","IBM",1,109,0.0738087,0.823356
"demography","IBM",1,116,0.0712118,0.443038
"demography","IBM",1,123,0.0734672,1.26846
"demography","IBM",1,130,0.0810517,0.569423
"demography","IBM",1,137,0.0708773,0.75923
"demography","IBM",1,144,0.0705895,0.885615
"demography","IBM",1,151,0.0703337,0.569917
"demography","IBM",1,158,0.070225,0.82193
"demography","IBM",1,165,0.0690331,0.757
"demography","IBM",1,172,0.0659616,0.816133
"demography","IBM",1,179,0.0638275,0.876351
"demography","IBM",1,186,0.0708833,0.498804
"demography","IBM",1,193,0.0633228,0.74744
"demography","IBM",1,200,0.0700457,0.499572
"demography","IBM",1,207,0.0710001,0.935418
"demography","IBM",1,214,0.0734828,1.18385
"demography","IBM",1,221,0.0822473,0.684219
"demography","IBM",1,228,0.0762479,0.874102
"demography","IBM",1,235,0.0721887,1.0596
"demography","IBM",1,242,0.0674046,0.933663
"demography","IBM",1,249,0.07078,1.05833
"demography","IBM",1,256,0.063532,0.682939
"demography","IBM",1,263,0.064435,1.11262
"demography","IBM",1,270,0.0676609,1.16908
"demography","IBM",1,277,0.0649408,0.920013
"demography","IBM",1,284,0.068142,0.982338
"demography","IBM",1,291,0.0709819,1.2302
"demography","IBM",1,298,0.0676016,0.91955
"demography","IBM",1,305,0.066674,0.857239
"demography","IBM",1,312,0.0632606,1.22196
"demography","IBM",1,319,0.0614507,0.976262
"demography","IBM",1,326,0.0675601,0.911892
"demography","IBM",1,333,0.0700945,1.03056
"demography","IBM",1,340,0.0733693,1.33035
"demography","IBM",1,347,0.07316,0.969777
"demography","IBM",1,354,0.077067,0.845467
"demography","IBM",1,361,0.0756293,0.90781
"demography","IBM",1,365,0.0769231,0.423926
"eir_1","IBM",2,4,0.0434969,0.382274
"eir_1","IBM",2,11,0.0423172,0.502953
"eir_1","IBM",2,18,0.0421449,0.599343
"eir_1","IBM",2,25,0.0460504,0.576051
"eir_1","IBM",2,32,0.0449711,0.336029
"eir_1","IBM",2,39,0.0410645,0.526626
"eir_1","IBM",2,46,0.0415078,0.597851
"eir_1","IBM",2,53,0.0459468,0.454784
"eir_1","IBM",2,60,0.0446185,0.646654
"eir_1","IBM",2,67,0.0454762,0.456731
"eir_1","IBM",2,74,0.0461649,0.433149
"eir_1","IBM",2,81,0.0441444,0.433063
"eir_1","IBM",2,88,0.0446138,0.3125
"eir_1","IBM",2,95,0.0444498,0.648483
"eir_1","IBM",2,102,0.045777,0.576543
"eir_1","IBM",2,109,0.0432013,0.50544
"eir_1","IBM",2,116,0.0408349,0.530558
"eir_1","IBM",2,123,0.0372992,0.289147
"eir_1","IBM",2,130,0.0399273,0.38558
"eir_1","IBM",2,137,0.0407851,0.458512
"eir_1","IBM",2,144,0.0414769,0.435445
"eir_1","IBM",2,151,0.0452387,0.628435
"eir_1","IBM",2,158,0.0462528,0.458785
"eir_1","IBM",2,165,0.0437641,0.386883
"eir_1","IBM",2,172,0.0428846,0.314093
"eir_1","IBM",2,179,0.0406473,0.530243
"eir_1","IBM",2,186,0.0434175,0.602032
"eir_1","IBM",2,193,0.0464713,0.600685
"eir_1","IBM",2,200,0.0465732,0.336805
"eir_1","IBM",2,207,0.0444809,0.336472
"eir_1","IBM",2,214,0.0420245,0.360862
"eir_1","IBM",2,221,0.0394699,0.313367
"eir_1","IBM",2,228,0.0400173,0.410085
"eir_1","IBM",2,235,0.0386078,0.313657
"eir_1","IBM",2,242,0.0420622,0.217305
"eir_1","IBM",2,249,0.0376012,0.507179
"eir_1","IBM",2,256,0.0384968,0.43484
"eir_1","IBM",2,263,0.0405366,0.338635
"eir_1","IBM",2,270,0.0415821,0.363473
"eir_1","IBM",2,277,0.0410952,0.339828
"eir_1","IBM",2,284,0.0443576,0.533803
"eir_1","IBM",2,291,0.0459366,0.460369
"eir_1","IBM",2,298,0.0447919,0.435965
"eir_1","IBM",2,305,0.0433654,0.459576
"eir_1","IBM",2,312,0.044136,0.410873
"eir_1","IBM",2,319,0.0445127,0.241227
"eir_1","IBM",2,326,0.0443889,0.433463
"eir_1","IBM",2,333,0.0434678,0.409436
"eir_1","IBM",2,340,0.0415127,0.410085
"eir_1","IBM",2,347,0.0439502,0.482326
"eir_1","IBM",2,354,0.0486014,0.554601
"eir_1","IBM",2,361,0.0473765,0.434783
"eir_1","IBM",2,365,0.0444145,0.676552
"eir_3","IBM",2,4,0.0886329,1.1468
"eir_3","IBM",2,11,0.0864145,0.928007
"eir_3","IBM",2,18,0.0875196,0.977569
"eir_3","IBM",2,25,0.0889808,1.3922
"eir_3","IBM",2,32,0.0893528,1.14466
"eir_3","IBM",2,39,0.0925089,1.19273
"eir_3","IBM",2,46,0.0937024,1.36312
"eir_3","IBM",2,53,0.0977634,1.04752
"eir_3","IBM",2,60,0.0940049,1.05004
"eir_3","IBM",2,67,0.0924682,0.978749
"eir_3","IBM",2,74,0.0916869,1.24883
"eir_3","IBM",2,81,0.0976201,0.661409
"eir_3","IBM",2,88,0.0957978,1.02927
"eir_3","IBM",2,95,0.0925908,1.19808
"eir_3","IBM",2,102,0.0931485,1.29467
"eir_3","IBM",2,109,0.0899776,0.85652
"eir_3","IBM",2,116,0.0924671,1.07872
"eir_3","IBM",2,123,0.0931722,0.931122
"eir_3","IBM",2,130,0.0955155,0.931498
"eir_3","IBM",2,137,0.0927855,1.18099
"eir_3","IBM",2,144,0.0899661,0.885863
"eir_3","IBM",2,151,0.0921467,1.37838
"eir_3","IBM",2,158,0.0949924,1.18322
"eir_3","IBM",2,165,0.0930344,1.15685
"eir_3","IBM",2,172,0.0956588,1.06011
"eir_3","IBM",2,179,0.096141,1.1592
"eir_3","IBM",2,186,0.0939572,0.838684
"eir_3","IBM",2,193,0.090792,1.23528
"eir_3","IBM",2,200,0.095663,0.915469
"eir_3","IBM",2,207,0.0935046,0.8409
"eir_3","IBM",2,214,0.0857279,0.892178
"eir_3","IBM",2,221,0.0906121,1.14163
"eir_3","IBM",2,228,0.0932047,0.84508
"eir_3","IBM",2,235,0.0934765,0.846637
"eir_3","IBM",2,242,0.0913302,1.04634
"eir_3","IBM",2,249,0.092053,1.07002
"eir_3","IBM",2,256,0.0907545,1.19525
"eir_3","IBM",2,263,0.091554,1.02164
"eir_3","IBM",2,270,0.0949496,1.07038
"eir_3","IBM",2,277,0.091404,1.04592
"eir_3","IBM",2,284,0.0968292,1.44713
"eir_3","IBM",2,291,0.0992743,1.19869
"eir_3","IBM",2,298,0.0977693,1.20025
"eir_3","IBM",2,305,0.0980029,1.07647
"eir_3","IBM",2,312,0.0980961,1.00082
"eir_3","IBM",2,319,0.0967266,1.02542
"eir_3","IBM",2,326,0.0940053,1.22466
"eir_3","IBM",2,333,0.094131,1.10242
"eir_3","IBM",2,340,0.0908057,0.955234
"eir_3","IBM",2,347,0.0871603,1.10644
"eir_3","IBM",2,354,0.0888258,0.982673
"eir_3","IBM",2,361,0.0889636,1.03364
"eir_3","IBM",2,365,0.0959177,1.2343
"eir_10","IBM",2,4,0.174209,2.41294
"eir_10","IBM",2,11,0.173144,2.16536
"eir_10","IBM",2,18,0.171683,2.11659
"eir_10","IBM",2,25,0.176689,2.33958
"eir_10","IBM",2,32,0.176304,2.34182
"eir_10","IBM",2,39,0.177411,2.75575
"eir_10","IBM",2,46,0.176787,1.88605
"eir_10","IBM",2,53,0.174747,2.08529
"eir_10","IBM",2,60,0.164901,1.81259
"eir_10","IBM",2,67,0.157574,2.18682
"eir_10","IBM",2,74,0.165033,2.26523
"eir_10","IBM",2,81,0.169368,2.12384
"eir_10","IBM",2,88,0.169331,1.94613
"eir_10","IBM",2,95,0.163337,2.30079
"eir_10","IBM",2,102,0.160842,1.64955
"eir_10","IBM",2,109,0.161402,1.75024
"eir_10","IBM",2,116,0.156794,2.30126
"eir_10","IBM",2,123,0.155115,1.92553
