"scenario","model","rep","year","pfpr_2_10","clin_0_5","sev_0_5","clin_all","sev_all"
"eir_20","IBM",1,0,0.564167,1.3579,28.7692,0.608333,7.3
"eir_20","IBM",1,0.0821918,0.559105,1.34443,28.727,0.602278,6.08362
"eir_20","IBM",1,0.164384,0.552708,1.33052,28.7991,0.622996,8.51752
"eir_20","IBM",1,0.246575,0.562178,1.37134,23.0477,0.618135,6.084
"eir_20","IBM",1,0.328767,0.561481,1.49177,46.0779,0.653542,9.73619
"eir_20","IBM",1,0.410959,0.559525,1.53565,46.185,0.694925,10.9533
"eir_20","IBM",1,0.493151,0.549557,1.31535,5.79448,0.641376,1.21703
"eir_20","IBM",1,0.575342,0.548145,1.45636,17.4066,0.647489,7.30251
"eir_20","IBM",1,0.657534,0.550376,1.55608,34.8377,0.673086,8.52007
"eir_20","IBM",1,0.739726,0.547846,1.32263,29.0051,0.614663,6.08577
"eir_20","IBM",1,0.821918,0.548517,1.50884,23.2129,0.690126,4.86861
"eir_20","IBM",1,0.90411,0.548267,1.47224,23.1849,0.663349,6.08577
"eir_20","IBM",1,0.986301,0.547138,1.41365,46.3492,0.61588,10.9544
"eir_20","IBM",1,1.06849,0.550074,1.27075,5.80249,0.619531,2.43431
"eir_20","IBM",1,1.15068,0.550456,1.35933,17.5021,0.614663,3.65146
"eir_20","IBM",1,1.23288,0.540944,1.23466,23.2955,0.592754,9.73723
"eir_20","IBM",1,1.31507,0.548244,1.43441,23.3238,0.64156,6.0869
"eir_20","IBM",1,1.39726,0.546498,1.37135,11.671,0.648938,2.43504
"eir_20","IBM",1,1.47945,0.542454,1.43963,23.4087,0.66233,7.30511
"eir_20","IBM",1,1.56164,0.542456,1.66832,23.4151,0.670853,7.30511
"eir_20","IBM",1,1.64384,0.540672,1.50386,46.8129,0.653808,10.9577
"eir_20","IBM",1,1.72603,0.54676,1.66456,29.2028,0.698923,8.52346
"eir_20","IBM",1,1.80822,0.549785,1.43025,64.2153,0.622214,13.394
"eir_20","IBM",1,1.89041,0.554091,1.55923,58.6176,0.674573,12.1764
"eir_20","IBM",1,1.9726,0.562405,1.34068,29.4009,0.616126,6.0882
"eir_20","IBM",1,2.05479,0.556824,1.54923,29.4531,0.647807,7.30609
"eir_20","IBM",1,2.13699,0.558428,1.5595,29.314,0.672205,7.30658
"eir_20","IBM",1,2.21918,0.55926,1.34419,35.0658,0.633237,9.7421
"eir_20","IBM",1,2.30137,0.553637,1.51373,40.7542,0.678339,9.74275
"eir_20","IBM",1,2.38356,0.558373,1.56488,46.3669,0.712553,10.9624
"eir_20","IBM",1,2.46575,0.552338,1.5331,17.3559,0.688243,3.65439
"eir_20","IBM",1,2.54795,0.550803,1.55939,28.771,0.668753,6.09064
"eir_20","IBM",1,2.63014,0.54824,1.66434,57.1939,0.719914,14.6175
"eir_20","IBM",1,2.71233,0.55198,1.52643,22.7826,0.676122,4.87295
"eir_20","IBM",1,2.79452,0.553117,1.60828,56.8297,0.711458,12.1825
"eir_20","IBM",1,2.87671,0.547531,1.50043,22.6479,0.679784,6.09125
"eir_20","IBM",1,2.9589,0.545385,1.53646,45.19,0.651764,9.746
"eir_20","IBM",1,3.0411,0.535459,1.54523,50.5711,0.661623,10.9661
"eir_20","IBM",1,3.12329,0.533908,1.40116,33.4939,0.651895,9.74796
"eir_20","IBM",1,3.20548,0.533819,1.49741,33.5242,0.694542,7.31097
"eir_20","IBM",1,3.28767,0.538678,1.55386,22.5197,0.690886,9.74796
"eir_20","IBM",1,3.36986,0.539424,1.42831,45.343,0.639744,9.74848
"eir_20","IBM",1,3.45205,0.546199,1.70768,45.3867,0.672676,10.9675
"eir_20","IBM",1,3.53425,0.546466,1.78451,28.2359,0.729951,6.09308
"eir_20","IBM",1,3.61644,0.546162,1.29114,16.768,0.623932,4.87447
"eir_20","IBM",1,3.69863,0.538948,1.53656,38.9707,0.716546,8.53032
"eir_20","IBM",1,3.78082,0.538322,1.52348,55.8053,0.6873,15.842
"eir_20","IBM",1,3.86301,0.53348,1.42084,33.5632,0.675114,8.53032
"eir_20","IBM",1,3.94521,0.540336,1.55781,44.5088,0.706798,9.74893
"eir_20","IBM",1,4.0274,0.546584,1.5451,50.0213,0.682425,12.1862
"eir_20","IBM",1,4.10959,0.548903,1.64714,38.8215,0.712891,8.53032
"eir_20","IBM",1,4.19178,0.55276,1.55058,22.1511,0.670239,6.09308
"eir_20","IBM",1,4.27397,0.553756,1.47557,49.5527,0.689737,12.1862
"eir_20","IBM",1,4.35616,0.549475,1.51464,60.366,0.66902,13.4048
"eir_20","IBM",1,4.43836,0.549291,1.46149,21.9774,0.68733,6.09335
"eir_20","IBM",1,4.52055,0.558926,1.51425,38.6852,0.666715,9.75085
"eir_20","IBM",1,4.60274,0.553282,1.72371,66.5098,0.688656,15.8452
"eir_20","IBM",1,4.68493,0.54592,1.4964,11.1257,0.683781,2.43772
"eir_20","IBM",1,4.76712,0.545549,1.56073,44.5924,0.704501,10.9697
"eir_20","IBM",1,4.84932,0.53983,1.56698,11.1529,0.653309,3.65658
"eir_20","IBM",1,4.93151,0.538646,1.48169,38.8457,0.625275,10.9697
"eir_20","IBM",1,5.0137,0.549351,1.49948,33.1989,0.659404,8.53202
"eir_20","IBM",1,5.09589,0.548766,1.4384,22.1293,0.644816,4.87574
"eir_20","IBM",1,5.17808,0.542226,1.49267,22.0321,0.648499,4.87593
"eir_20","IBM",1,5.26027,0.537346,1.57467,49.3799,0.680192,12.1898
"eir_20","IBM",1,5.34247,0.543871,1.50359,43.9005,0.691163,9.75186
"eir_20","IBM",1,5.42466,0.548306,1.39221,65.7737,0.674097,15.8468
"eir_20","IBM",1,5.50685,0.551347,1.54071,38.2445,0.669224,9.75189
"eir_20","IBM",1,5.58904,0.542141,1.46308,49.1333,0.655878,12.191
"eir_20","IBM",1,5.67123,0.540334,1.54798,54.893,0.733847,13.4092
"eir_20","IBM",1,5.75342,0.539396,1.39782,38.3714,0.658288,10.9715
"eir_20","IBM",1,5.83562,0.5445,1.54199,49.0386,0.692382,10.9708
"eir_20","IBM",1,5.91781,0.548741,1.53537,59.8905,0.676535,15.8468
"eir_20","IBM",1,6,0.552497,1.46615,54.3017,0.663127,14.6278
"eir_20","IBM",1,6.08219,0.544834,1.46002,27.138,0.642417,6.09504
"eir_20","IBM",1,6.16438,0.542766,1.50838,87.1265,0.65947,19.5037
"eir_20","IBM",1,6.24658,0.547739,1.52939,43.6969,0.6985,10.9712
"eir_20","IBM",1,6.32877,0.538111,1.34372,38.2359,0.665631,8.53373
"eir_20","IBM",1,6.41096,0.54228,1.6203,49.2659,0.7083,13.4102
"eir_20","IBM",1,6.49315,0.550999,1.58265,43.8103,0.709519,10.9719
"eir_20","IBM",1,6.57534,0.552979,1.52752,27.3749,0.682699,8.53373
"eir_20","IBM",1,6.65753,0.559036,1.62234,49.328,0.73512,13.4102
"eir_20","IBM",1,6.73973,0.556093,1.46031,60.3887,0.674197,13.4108
"eir_20","IBM",1,6.82192,0.54748,1.63648,43.7853,0.691232,12.191
"eir_20","IBM",1,6.90411,0.543704,1.43094,16.3849,0.65344,4.87642
"eir_20","IBM",1,6.9863,0.537098,1.52882,21.8403,0.683918,4.87642
"eir_20","IBM",1,7.06849,0.538663,1.55482,54.555,0.687603,13.4107
"eir_20","IBM",1,7.15068,0.543922,1.58101,38.2944,0.702275,9.75382
"eir_20","IBM",1,7.23288,0.551405,1.52929,33.0063,0.688847,9.75359
"eir_20","IBM",1,7.31507,0.552251,1.52239,38.472,0.699766,9.75284
"eir_20","IBM",1,7.39726,0.546858,1.5251,44.0462,0.686356,10.9719
"eir_20","IBM",1,7.47945,0.539002,1.51264,60.7266,0.683918,14.6293
"eir_20","IBM",1,7.56164,0.534067,1.49796,27.6377,0.663193,6.09552
"eir_20","IBM",1,7.64384,0.537963,1.53822,27.6658,0.705892,9.75326
"eir_20","IBM",1,7.72603,0.54042,1.54405,33.2055,0.696309,9.75564
"eir_20","IBM",1,7.80822,0.540414,1.57449,49.896,0.697608,10.9763
"eir_20","IBM",1,7.89041,0.537282,1.38076,44.5407,0.639067,10.9763
"eir_20","IBM",1,7.9726,0.530812,1.42812,44.2827,0.647604,12.1959
"eir_20","IBM",1,8.05479,0.526805,1.51181,22.1511,0.715923,4.87852
"eir_20","IBM",1,8.13699,0.526472,1.67012,38.9696,0.740368,8.53801
"eir_20","IBM",1,8.21918,0.541244,1.51027,22.2918,0.672086,7.31854
"eir_20","IBM",1,8.30137,0.538778,1.63026,38.9482,0.713605,8.53887
"eir_20","IBM",1,8.38356,0.535736,1.57533,33.2817,0.706286,8.53887
"eir_20","IBM",1,8.46575,0.538026,1.48959,27.7909,0.683169,7.31967
"eir_20","IBM",1,8.54795,0.538892,1.42251,39.0494,0.683233,12.2006
"eir_20","IBM",1,8.63014,0.530425,1.46724,28.0007,0.672266,7.3205
"eir_20","IBM",1,8.71233,0.533923,1.54303,67.0884,0.686907,15.8611
"eir_20","IBM",1,8.79452,0.54373,1.45621,50.4074,0.708868,10.9807
"eir_20","IBM",1,8.87671,0.552152,1.49402,39.1691,0.691787,10.9807
