"scenario","model","rep","doy","pfpr_2_10","clin_0_5"
"eir_20","IBM",2,95,0.532124,1.603
"eir_20","IBM",2,102,0.530504,1.75579
"eir_20","IBM",2,109,0.53631,1.32422
"eir_20","IBM",2,116,0.53872,1.58141
"eir_20","IBM",2,123,0.541606,1.93837
"eir_20","IBM",2,130,0.544391,1.68733
"eir_20","IBM",2,137,0.546149,1.43539
"eir_20","IBM",2,144,0.552446,1.53879
"eir_20","IBM",2,151,0.551882,1.58662
"eir_20","IBM",2,158,0.548475,1.51017
"eir_20","IBM",2,165,0.547173,1.60894
"eir_20","IBM",2,172,0.549213,2.14676
"eir_20","IBM",2,179,0.550048,1.68438
"eir_20","IBM",2,186,0.544766,1.42947
"eir_20","IBM",2,193,0.544582,1.48332
"eir_20","IBM",2,200,0.547702,1.73761
"eir_20","IBM",2,207,0.552771,1.4553
"eir_20","IBM",2,214,0.552233,1.603
"eir_20","IBM",2,221,0.549573,1.77999
"eir_20","IBM",2,228,0.549466,1.62969
"eir_20","IBM",2,235,0.551501,1.62731
"eir_20","IBM",2,242,0.548914,1.27266
"eir_20","IBM",2,249,0.543131,1.52794
"eir_20","IBM",2,256,0.544933,1.44932
"eir_20","IBM",2,263,0.543896,1.78086
"eir_20","IBM",2,270,0.540115,1.47619
"eir_20","IBM",2,277,0.545055,1.88446
"eir_20","IBM",2,284,0.546503,1.29975
"eir_20","IBM",2,291,0.544143,1.73469
"eir_20","IBM",2,298,0.544146,1.52837
"eir_20","IBM",2,305,0.547165,1.39681
"eir_20","IBM",2,312,0.548058,1.21827
"eir_20","IBM",2,319,0.549627,1.39187
"eir_20","IBM",2,326,0.551845,1.24176
"eir_20","IBM",2,333,0.552917,1.52231
"eir_20","IBM",2,340,0.554499,1.52549
"eir_20","IBM",2,347,0.549454,1.67513
"eir_20","IBM",2,354,0.548403,1.77542
"eir_20","IBM",2,361,0.549045,1.54693
"eir_20","IBM",2,365,0.541855,1.06414
"demography","IBM",2,4,0.509396,1.30548
"demography","IBM",2,11,0.50252,1.18815
"demography","IBM",2,18,0.502571,0.889232
"demography","IBM",2,25,0.501989,1.54108
"demography","IBM",2,32,0.49979,1.48181
"demography","IBM",2,39,0.498006,1.59569
"demography","IBM",2,46,0.497058,1.17628
"demography","IBM",2,53,0.498842,1.34903
"demography","IBM",2,60,0.496993,1.5272
"demography","IBM",2,67,0.500369,1.53312
