"scenario","model","rep","years","elapsed_s"
"treatment","IBM",4,36,98.09
"nets","IBM",5,36,106.21
"irs","IBM",5,36,98.98
"pev","IBM",5,36,96.89
"treatment","IBM",5,36,97.25
"nets","IBM",6,36,105.49
"irs","IBM",6,36,100.13
"pev","IBM",6,36,99.05
"treatment","IBM",6,36,99.05
"nets","IBM",7,36,107.8
"irs","IBM",7,36,99.52
"pev","IBM",7,36,97.52
"treatment","IBM",7,36,98.67
"nets","IBM",8,36,106.26
"irs","IBM",8,36,98.98
"pev","IBM",8,36,99.14
"treatment","IBM",8,36,96.14
"nets","IBM",9,36,105.32
"irs","IBM",9,36,99.07
"pev","IBM",9,36,97.69
"treatment","IBM",9,36,98.56
"nets","IBM",10,36,105.11
"irs","IBM",10,36,98.73
"pev","IBM",10,36,97.37
"treatment","IBM",10,36,96.72
"nets","IBM",11,36,104.29
"irs","IBM",11,36,98.29
"pev","IBM",11,36,97.91
"treatment","IBM",11,36,97.5
"nets","IBM",12,36,105.3
"irs","IBM",12,36,98.25
"pev","IBM",12,36,96.89
"treatment","IBM",12,36,97.79
"nets","IBM",13,36,104.97
"irs","IBM",13,36,98.39
"pev","IBM",13,36,97.33
"treatment","IBM",13,36,96.79
"nets","IBM",14,36,105.16
"irs","IBM",14,36,98.64
"pev","IBM",14,36,98.31
"treatment","IBM",14,36,97.3
"nets","IBM",15,36,105.75
"irs","IBM",15,36,98.79
"pev","IBM",15,36,98.08
"treatment","IBM",15,36,96.42
"nets","IBM",16,36,104.85
"irs","IBM",16,36,98.43
"pev","IBM",16,36,98.37
"treatment","IBM",16,36,97.97
"nets","IBM",17,36,105.44
"irs","IBM",17,36,99.04
"pev","IBM",17,36,97.48
"treatment","IBM",17,36,97.67
"nets","IBM",18,36,105.92
"irs","IBM",18,36,98.47
"pev","IBM",18,36,96.69
"treatment","IBM",18,36,96.83
"nets","IBM",19,36,105.96
"irs","IBM",19,36,99.47
"pev","IBM",19,36,97.11
"treatment","IBM",19,36,97.92
"nets","IBM",20,36,106.05
"irs","IBM",20,36,99.67
"pev","IBM",20,36,97.21
"treatment","IBM",20,36,96.2
"eir_1","IBM",1,33,71.36
"eir_10","IBM",1,33,84.89
"eir_50","IBM",1,33,93.16
"seasonal","IBM",1,33,83.03
"smc","IBM",1,33,80.38
"eir_1","IBM",2,33,72.94
"eir_10","IBM",2,33,85.79
"eir_50","IBM",2,33,94.41
"seasonal","IBM",2,33,82.38
"smc","IBM",2,33,80.79
"eir_1","IBM",3,33,72.66
"eir_10","IBM",3,33,83.55
"eir_50","IBM",3,33,92.01
"seasonal","IBM",3,33,80.45
"smc","IBM",3,33,79.31
"eir_1","IBM",4,33,71.49
"eir_10","IBM",4,33,83.25
"eir_50","IBM",4,33,91.93
"seasonal","IBM",4,33,81.39
"smc","IBM",4,33,78.45
"eir_1","IBM",5,33,71.39
"eir_10","IBM",5,33,82.05
"eir_50","IBM",5,33,91.89
"seasonal","IBM",5,33,82.88
"smc","IBM",5,33,81.06
"eir_1","IBM",6,33,72.86
"eir_10","IBM",6,33,83.89
"eir_50","IBM",6,33,91.76
"seasonal","IBM",6,33,82.61
"smc","IBM",6,33,79.98
"eir_1","IBM",7,33,73.67
"eir_10","IBM",7,33,85.56
"eir_50","IBM",7,33,93.86
"seasonal","IBM",7,33,83.98
"smc","IBM",7,33,83.19
"eir_1","IBM",8,33,73.73
