"eir","metric","mid","lo","hi","model","scenario"
"EIR 20","LM prevalence, ages 2–10",-0.001811888571,-0.01506151065,0.01143773351,"IBM","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 20","clinical incidence, ages 0–5",0.02539967045,-0.007163894107,0.05796323501,"IBM","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 20","clinical incidence, all ages",0.01679449272,-0.00801141202,0.04160039746,"IBM","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 20","severe incidence, all ages",0.01992384477,-0.09963087172,0.1394785613,"IBM","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 120","LM prevalence, ages 2–10",0.004312797914,-0.00314024141,0.01176583724,"IBM","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 120","clinical incidence, ages 0–5",0.001540199889,-0.01580968602,0.0188900858,"IBM","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 120","clinical incidence, all ages",0.0009558488423,-0.02006947468,0.02198117237,"IBM","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 120","severe incidence, all ages",-0.04110208476,-0.1677014153,0.08549724581,"IBM","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 3","LM prevalence, ages 2–10",0.270319468,0.2383893949,0.3022495411,"IBM","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 3","clinical incidence, ages 0–5",0.5680006277,0.5445738268,0.5914274287,"IBM","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 3","clinical incidence, all ages",0.206709056,0.1830523278,0.2303657842,"IBM","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 3","severe incidence, all ages",0.3391150419,0.2519901845,0.4262398993,"IBM","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 20","LM prevalence, ages 2–10",0.2157797093,0.199427513,0.2321319056,"IBM","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 20","clinical incidence, ages 0–5",0.5173528975,0.5016165828,0.5330892123,"IBM","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 20","clinical incidence, all ages",0.2642455007,0.2463692369,0.2821217644,"IBM","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 20","severe incidence, all ages",0.3635864333,0.290505961,0.4366669056,"IBM","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 120","LM prevalence, ages 2–10",0.1566963108,0.1450473797,0.1683452419,"IBM","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 120","clinical incidence, ages 0–5",0.4321043518,0.4229529582,0.4412557454,"IBM","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 120","clinical incidence, all ages",0.304000764,0.2927362013,0.3152653267,"IBM","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 120","severe incidence, all ages",0.2943259865,0.2312250343,0.3574269387,"IBM","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 3","LM prevalence, ages 2–10",0.316348073,0.2888697485,0.3438263975,"IBM","Treatment scale-up
20% → 60% of clinical cases"
"EIR 3","clinical incidence, ages 0–5",0.1487577278,0.1063138714,0.1912015843,"IBM","Treatment scale-up
20% → 60% of clinical cases"
"EIR 3","clinical incidence, all ages",0.146954521,0.1294080505,0.1645009915,"IBM","Treatment scale-up
20% → 60% of clinical cases"
"EIR 3","severe incidence, all ages",0.1146887321,0.02542121423,0.20395625,"IBM","Treatment scale-up
20% → 60% of clinical cases"
"EIR 20","LM prevalence, ages 2–10",0.1899263853,0.1770576127,0.2027951579,"IBM","Treatment scale-up
20% → 60% of clinical cases"
"EIR 20","clinical incidence, ages 0–5",0.04726069931,0.006322819964,0.08819857865,"IBM","Treatment scale-up
20% → 60% of clinical cases"
"EIR 20","clinical incidence, all ages",0.04917513478,0.01919768895,0.0791525806,"IBM","Treatment scale-up
20% → 60% of clinical cases"
"EIR 20","severe incidence, all ages",0.03020419627,-0.08498648771,0.1453948803,"IBM","Treatment scale-up
20% → 60% of clinical cases"
"EIR 120","LM prevalence, ages 2–10",0.08106115935,0.07556250515,0.08655981356,"IBM","Treatment scale-up
20% → 60% of clinical cases"
"EIR 120","clinical incidence, ages 0–5",0.0201820839,-0.004415853769,0.04478002157,"IBM","Treatment scale-up
20% → 60% of clinical cases"
"EIR 120","clinical incidence, all ages",0.01387531546,-0.01374876836,0.04149939928,"IBM","Treatment scale-up
20% → 60% of clinical cases"
"EIR 120","severe incidence, all ages",0.01016457403,-0.1095709753,0.1299001233,"IBM","Treatment scale-up
20% → 60% of clinical cases"
"EIR 20","LM prevalence, ages 2–10",0.7893659726,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 20","clinical incidence, ages 0–5",0.9764671668,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 20","clinical incidence, all ages",0.9769681713,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 20","severe incidence, all ages",0.9704195872,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 120","LM prevalence, ages 2–10",0.6891112804,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 120","clinical incidence, ages 0–5",0.9383758678,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 120","clinical incidence, all ages",0.9424772528,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 120","severe incidence, all ages",0.8626942983,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 3","LM prevalence, ages 2–10",0.8096295644,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
