"scenario","model","rep","pfpr_2_10","clin_0_5","sev_0_5","clin_all","sev_all","eir_realised"
"demography","IBM",13,0.487979488065915,1.21588919097375,29.1068271059786,0.373700204767235,3.16666840182743,13.629036120416
"eir_20","IBM",14,0.545052138201692,1.47247852370347,37.8619153674833,0.667781517224041,9.35719166819886,19.7750563855944
"demography","IBM",14,0.499494380439988,1.31113665822092,39.2271167010793,0.387966879251258,4.23333565296931,14.0157603114356
"eir_20","IBM",15,0.554397753387193,1.54445102369828,39.7550212433061,0.695002393000904,9.61929430899206,20.2940154371053
"demography","IBM",15,0.493250111778287,1.39878242234886,38.3657087573994,0.403966777342496,4.16666780821949,13.6593796188908
"eir_20","IBM",16,0.545524648080303,1.51912103932005,37.2278526589471,0.681379803608234,9.23005989814612,19.6558651973609
"demography","IBM",16,0.494646127984956,1.26231660610287,36.986592428345,0.378500311096146,3.86666984475147,13.8603922711318
"eir_20","IBM",17,0.545272421437962,1.50141575946041,38.7524118802707,0.677495071265036,8.99032873336451,20.1513192309676
"demography","IBM",17,0.495491704528016,1.27391620116548,35.0041808903141,0.385233720326112,3.86667055099325,13.5938273534853
"eir_20","IBM",18,0.549784545377971,1.50728417485858,36.9377763353957,0.677421535303596,8.92889987566307,20.0287111850593
"demography","IBM",18,0.468413802608049,1.2549313386315,38.7163628649293,0.385333509284707,4.33333531202526,13.4323265236963
"eir_20","IBM",19,0.550179148813697,1.51038690142046,38.3604996382797,0.698666280697066,9.39789386026031,20.1149340681854
"demography","IBM",19,0.484474455821161,1.18964273070661,32.7809275362924,0.375367078027848,3.73333742466202,13.5014705153352
"eir_20","IBM",20,0.550951242179417,1.5609867887409,35.6913780262071,0.692203475711862,8.82450383481433,20.3291487794896
"demography","IBM",20,0.479527704109475,1.20537276534072,33.0131438828238,0.374267076822367,3.6000039452098,13.5306718157343
"ts_none","IBM",1,0.428691323484429,1.41718332306614,41.5745191628406,0.69549629064719,10.0421764971755,18.3272934866562
"ts_nets","IBM",1,0.227531675868892,0.565950902274531,24.7098630716,0.418738255320258,7.56087853679945,4.96988472258426
"ts_smc","IBM",1,0.304438172781538,0.757827714962241,27.6474472139324,0.633140907554924,8.80996960961231,16.2286525845749
"ts_treat","IBM",1,0.288424255762992,1.20820763387317,36.0093255585729,0.651782237461577,9.03015151818934,15.9043147267398
"ts_all","IBM",1,0.0792841566212326,0.176999679738328,12.3047905700442,0.273143370562627,5.61483787345626,3.01462756569401
"ts_none","IBM",2,0.43791702441246,1.46941954193977,43.8162214586782,0.721353898464886,10.5483688407756,18.9278816045114
"ts_nets","IBM",2,0.226586622514062,0.560800660797665,27.6495033318069,0.424041910630152,8.16952226140703,4.88056608468707
"ts_smc","IBM",2,0.307736597459731,0.72753995245648,25.6353247406844,0.624703960721414,7.92720371708,16.3582680671893
"ts_treat","IBM",2,0.303669333244611,1.28023276165718,34.5707453060736,0.672705084665922,8.52970704398683,16.5797924498616
"ts_all","IBM",2,0.0853972403363116,0.208669029271528,13.1507436822603,0.300144859911998,5.74423850531076,3.3478238814446
"ts_none","IBM",3,0.426802004011057,1.39129205385373,38.7417034376734,0.6896605908667,9.62613508310197,18.4895771497979
"ts_nets","IBM",3,0.219459412116269,0.587219166401661,23.118864818963,0.411069387767118,7.0850874709085,4.80992463285341
"ts_smc","IBM",3,0.304915914296759,0.720341260760388,30.5202955272451,0.619029948286274,8.73197626705898,16.450666436184
"ts_treat","IBM",3,0.304680923374142,1.21601629612425,38.8040571235343,0.65070609043258,9.70701802173209,16.7579996648238
"ts_all","IBM",3,0.0827860145174185,0.188577099293912,13.5364749493155,0.282314424968867,6.04671543246026,3.18171846201322
"ts_none","IBM",4,0.425309380455847,1.39595278005189,37.8209792096273,0.690748818971046,8.9690188525638,18.5377394167552
"ts_nets","IBM",4,0.209968538199575,0.527690013429247,23.2734569379236,0.396634603200903,6.45809394628337,4.64194450960482
"ts_smc","IBM",4,0.303497111342088,0.74337801604028,28.0373871438405,0.617798576229471,8.2955285854134,16.4052039346009
"ts_treat","IBM",4,0.290698796258434,1.1798769132165,36.7264851354339,0.63943293972567,9.3114774631485,16.1542806441951
"ts_all","IBM",4,0.0832627665301104,0.1871996097556,12.7177862468593,0.276767139922339,6.04955497098009,3.11530687220309
"ts_none","IBM",5,0.423123187332097,1.39871719709117,42.9865805252607,0.689140306439226,10.7515429798914,18.182164776258
"ts_nets","IBM",5,0.217405500292948,0.578535005979107,27.398454977932,0.41593298541071,7.52212084062645,4.77450655117358
"ts_smc","IBM",5,0.304331838112746,0.755733842960524,26.5032204731954,0.6262822399829,7.6338972494291,15.8891276371662
"ts_treat","IBM",5,0.294333500738868,1.20623728651789,36.7034553401525,0.650965959464753,9.10465395411582,15.7038980933538
"ts_all","IBM",5,0.0927353729096979,0.204661235335709,13.5495506072909,0.303233223526691,5.91346784938478,3.32935792449409
"ts_none","IBM",6,0.424207395276617,1.476070936777,40.9843200267397,0.710852724227303,9.73357051918966,18.2631994899861
"ts_nets","IBM",6,0.213149690732225,0.588329593521324,25.2941702792841,0.412390983297858,7.25260156263943,4.6240054291983
"ts_smc","IBM",6,0.309845267776767,0.761839544016303,27.9672289979906,0.646318325428622,8.29948668473458,16.6271950113802
"ts_treat","IBM",6,0.303016931829182,1.25139188656469,37.5289807736986,0.654887368313832,9.46242956727472,16.3876414227811
"ts_all","IBM",6,0.0810436655818835,0.185607472585588,10.3294593438936,0.276929275268884,5.4701250446956,3.03865192346254
"ts_none","IBM",7,0.434055439027083,1.4321747087385,38.3532615596117,0.691352120156071,9.06757371233553,18.3816450202672
"ts_nets","IBM",7,0.220774606479776,0.567990835494279,26.8899315807092,0.412799918993681,7.96301325097691,4.79700421783392
"ts_smc","IBM",7,0.300147048670392,0.763701153513898,32.9221505157782,0.61859318591611,9.2783935282238,15.8767828636951
"ts_treat","IBM",7,0.309780424257873,1.30574986251431,39.0263414492845,0.687470395356227,9.59760485560289,16.926063055361
"ts_all","IBM",7,0.0786526468717406,0.191283301326364,11.7979009864123,0.284217287909958,5.17063937839734,3.14539416936692
"ts_none","IBM",8,0.425413344464104,1.43029933215371,37.3627892940753,0.691757993985478,9.07510122812687,18.1113379606252
"ts_nets","IBM",8,0.217308261076857,0.562948276004632,23.0325902992866,0.398560873778861,7.11835764457612,4.71365994031667
"ts_smc","IBM",8,0.301306682314045,0.74020682493119,30.3112356974654,0.625205309944498,8.4659719562608,16.2193645800937
"ts_treat","IBM",8,0.295162336514754,1.27832391971388,37.0942208845545,0.670150095307079,9.13505191558211,16.2997212896972
"ts_all","IBM",8,0.0883046668989801,0.186907525205096,13.5815156723426,0.279320990637264,5.91297742989638,3.27800752092487
"ts_none","IBM",9,0.427565060451396,1.40469795261823,43.6106645327283,0.701453966795915,10.6789717273602,18.042036148475
"ts_nets","IBM",9,0.225381567521642,0.58360991614263,25.264498534313,0.428622739197812,7.79069848745631,4.80426808687311
"ts_smc","IBM",9,0.309362013742201,0.775996140383362,26.197232865519,0.643524902072208,7.51914756998459,16.5162363820879
"ts_treat","IBM",9,0.294792597444249,1.24290823241155,36.2892914572716,0.670662079987347,8.8271507875424,16.2001994974983
"ts_all","IBM",9,0.0912068369201178,0.186534540630537,11.2115708218702,0.298494345263609,5.17018661237158,3.34922225248571
"ts_none","IBM",10,0.426691624509448,1.47754939873464,41.8382095021731,0.714816517490863,10.2836790950731,18.9231390278208
"ts_nets","IBM",10,0.226480078354554,0.593473301761855,26.7316066092094,0.435750427080405,7.82865675917452,5.10089311988226
"ts_smc","IBM",10,0.29977146943598,0.722739156810623,27.4671569148836,0.621448146074134,8.1650121382003,15.9317178765722
"ts_treat","IBM",10,0.294752753253918,1.24657174994231,39.6255043923323,0.656304922127004,10.0106908324639,16.2703780467879
"ts_all","IBM",10,0.0859495357022354,0.189879730242134,12.3485973214902,0.30067340901719,5.7498493560657,3.44363363820537
"ts_none","IBM",11,0.425792421977719,1.45558666370327,42.72065118095,0.71019403721397,10.7147132931922,18.5678436763823
"ts_nets","IBM",11,0.218251075521093,0.562238110995658,24.5949800574863,0.405035919533613,7.39668816281188,4.68902437197036
"ts_smc","IBM",11,0.304668184481844,0.724040968113661,26.9291305386529,0.603687581203362,8.02409943315742,16.4281322544515
"ts_treat","IBM",11,0.300085106599676,1.23447427654055,38.0542722750411,0.655162078859883,9.07147493805991,16.6298296604647
"ts_all","IBM",11,0.0846977318058126,0.200696539004014,13.6226537919063,0.290265769532882,5.10652742696736,3.21226841044316
"ts_none","IBM",12,0.438664026354908,1.48494878389085,36.2066941557713,0.719829277206313,8.59297248611873,18.6766949778656
"ts_nets","IBM",12,0.224010452580433,0.566815010956504,28.0696235026293,0.408438176998657,8.05399412371027,4.69476556773992
"ts_smc","IBM",12,0.305890529839994,0.73354172812386,23.272262948092,0.607723606586659,7.15087438973365,16.1417568152515
"ts_treat","IBM",12,0.293740424759944,1.26536318165956,40.9127919887487,0.658334276574701,10.2192412213393,15.9815305186983
"ts_all","IBM",12,0.0835348552419368,0.169820099255583,10.1247755653735,0.278608372189,5.1780942936406,3.1552583076169
"ts_none","IBM",13,0.438375372146094,1.47904569590652,41.2137183229765,0.713830990273524,10.3190711500669,19.1597998909078
"ts_nets","IBM",13,0.224403587560355,0.596565552744395,28.2170215756554,0.420907643777979,8.36173634120926,4.88133668111069
"ts_smc","IBM",13,0.301599598463687,0.742945108215576,27.7839180549666,0.629184423223627,8.69298867037872,16.065747995399
"ts_treat","IBM",13,0.292332943373395,1.22546527214586,37.8835947709672,0.662785557485516,9.16154213638208,16.3541037377884
"ts_all","IBM",13,0.0795261651494053,0.183545610648088,10.7879869115611,0.275717229340313,5.37067892554786,3.08396313976341
"ts_none","IBM",14,0.429075524968136,1.45575713363151,43.1832004728989,0.721919529630262,10.7558548040639,18.4894040557322
"ts_nets","IBM",14,0.218751811182641,0.554790568253317,25.1758863291488,0.426420463170213,8.26044837702751,4.85602270612868
"ts_smc","IBM",14,0.307309849086626,0.780415843611385,26.6468518030575,0.637281444648595,8.53157049179061,16.461398313546
"ts_treat","IBM",14,0.304549228462199,1.22394086842368,39.9299857783612,0.655882668676678,9.82091888895902,16.5750897795433
"ts_all","IBM",14,0.0841782504073597,0.195789956901143,12.4972312915623,0.296700209862101,5.64567167933321,3.29398824502691
"ts_none","IBM",15,0.431148536417446,1.40653756419571,44.1426380888288,0.6986146263977,10.664848120324,18.6355302833835
"ts_nets","IBM",15,0.227652792203646,0.58578685517051,21.7893762839705,0.427033565871197,6.91525151870659,4.95375381652038
"ts_smc","IBM",15,0.305628844574598,0.759828667839179,30.3809943158408,0.643924460054552,8.92057217720488,16.4595566301772
"ts_treat","IBM",15,0.301046021431228,1.27169385406039,37.8368171393276,0.671160387430765,9.65939691070213,16.7855794740856
"ts_all","IBM",15,0.0769052534278232,0.167487601640169,12.3129433816524,0.273262175790054,5.24018431754744,3.10448683782268
"ts_none","IBM",16,0.425682733170016,1.46311563235305,38.2534217832766,0.702564849348344,9.60301791787548,18.1336090131131
"ts_nets","IBM",16,0.226539903335341,0.590808392890488,26.7985977897364,0.432807505002958,7.85518934078122,4.90004105312034
"ts_smc","IBM",16,0.315274876755802,0.731198058137203,29.2479223254881,0.630767875883023,8.93467463575718,16.3520048422551
"ts_treat","IBM",16,0.307091153534562,1.29907787080858,36.2360497996432,0.68463640571275,8.95673086997424,16.5355039916725
"ts_all","IBM",16,0.0935706894487757,0.200803221529414,12.9346929814705,0.297615975166327,5.27259175142331,3.34588129061209
"ts_none","IBM",17,0.436046137752364,1.44153111730511,35.5855157897669,0.693761525689814,8.55294861008038,18.7116224601097
