"metric","n","cor","rmse","bias","rel_bias","slope"
"clinical",451008,0.9835884648,0.07221456318,0.02202062811,0.07324678458,0.9872299465
"severe",451008,0.9583476976,0.001670636147,0.0003636539841,0.07541344482,0.9323760174
